STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00288644	SUSSEX	19960101	76	56	-83	76	56	-83	125	41.21667	-74.6
USC00288644	SUSSEX	19960102	76	28	-28	76	28	-28	125	41.21667	-74.6
USC00288644	SUSSEX	19960103	178	-28	-106	178	-28	-106	125	41.21667	-74.6
USC00288644	SUSSEX	19960104	178	-67	-139	178	-67	-139	125	41.21667	-74.6
USC00288644	SUSSEX	19960105	178	-61	-200	178	-61	-200	125	41.21667	-74.6
USC00288644	SUSSEX	19960106	178	-44	-194	178	-44	-194	125	41.21667	-74.6
USC00288644	SUSSEX	19960107	178	-94	-200	178	-94	-200	125	41.21667	-74.6
USC00288644	SUSSEX	19960108	813	-72	-194	813	-72	-194	125	41.21667	-74.6
USC00288644	SUSSEX	19960109	787	-17	-161	787	-17	-161	125	41.21667	-74.6
USC00288644	SUSSEX	19960110	762	-44	-172	762	-44	-172	125	41.21667	-74.6
USC00288644	SUSSEX	19960111	711	-28	-161	711	-28	-161	125	41.21667	-74.6
USC00288644	SUSSEX	19960112	635	-67	-161	635	-67	-161	125	41.21667	-74.6
USC00288644	SUSSEX	19960113	508	-67	-172	508	-67	-172	125	41.21667	-74.6
USC00288644	SUSSEX	19960114	610	0	-78	610	0	-78	125	41.21667	-74.6
USC00288644	SUSSEX	19960115	584	44	-83	584	44	-83	125	41.21667	-74.6
USC00288644	SUSSEX	19960116	559	33	-178	559	33	-178	125	41.21667	-74.6
USC00288644	SUSSEX	19960117	508	-28	-178	508	-28	-178	125	41.21667	-74.6
USC00288644	SUSSEX	19960118	356	50	-44	356	50	-44	125	41.21667	-74.6
USC00288644	SUSSEX	19960119	127	128	-50	127	128	-50	125	41.21667	-74.6
USC00288644	SUSSEX	19960120	76	139	-94	76	139	-94	125	41.21667	-74.6
USC00288644	SUSSEX	19960121	76	-11	-111	76	-11	-111	125	41.21667	-74.6
USC00288644	SUSSEX	19960122	76	-11	-117	76	-11	-117	125	41.21667	-74.6
USC00288644	SUSSEX	19960123	51	33	-94	51	33	-94	125	41.21667	-74.6
USC00288644	SUSSEX	19960124	51	33	-100	51	33	-100	125	41.21667	-74.6
USC00288644	SUSSEX	19960125	51	100	-44	51	100	-44	125	41.21667	-74.6
USC00288644	SUSSEX	19960126	25	106	-111	25	106	-111	125	41.21667	-74.6
USC00288644	SUSSEX	19960127	25	56	-78	25	56	-78	125	41.21667	-74.6
USC00288644	SUSSEX	19960128	0	128	-33	0	128	-33	125	41.21667	-74.6
USC00288644	SUSSEX	19960129	0	128	-89	0	128	-89	125	41.21667	-74.6
USC00288644	SUSSEX	19960130	0	-44	-83	0	-44	-83	125	41.21667	-74.6
USC00288644	SUSSEX	19960131	127	39	-83	127	39	-83	125	41.21667	-74.6
USC00288644	SUSSEX	19970101	0	-39	-167	0	-39	-167	125	41.21667	-74.6
USC00288644	SUSSEX	19970102	0	-33	-167	0	-33	-167	125	41.21667	-74.6
USC00288644	SUSSEX	19970103	0	50	-33	0	50	-33	125	41.21667	-74.6
USC00288644	SUSSEX	19970104	0	139	-33	0	139	-33	125	41.21667	-74.6
USC00288644	SUSSEX	19970105	0	106	-33	0	106	-33	125	41.21667	-74.6
USC00288644	SUSSEX	19970106	0	106	28	0	106	28	125	41.21667	-74.6
USC00288644	SUSSEX	19970107	0	50	-28	0	50	-28	125	41.21667	-74.6
USC00288644	SUSSEX	19970108	0	0	-56	0	0	-56	125	41.21667	-74.6
USC00288644	SUSSEX	19970109	0	0	-78	0	0	-78	125	41.21667	-74.6
USC00288644	SUSSEX	19970110	76	0	-78	76	0	-78	125	41.21667	-74.6
USC00288644	SUSSEX	19970111	51	28	-67	51	28	-67	125	41.21667	-74.6
USC00288644	SUSSEX	19970112	25	-22	-106	25	-22	-106	125	41.21667	-74.6
USC00288644	SUSSEX	19970113	25	-33	-106	25	-33	-106	125	41.21667	-74.6
USC00288644	SUSSEX	19970114	25	-6	-94	25	-6	-94	125	41.21667	-74.6
USC00288644	SUSSEX	19970115	25	-11	-128	25	-11	-128	125	41.21667	-74.6
USC00288644	SUSSEX	19970116	0	17	-111	0	17	-111	125	41.21667	-74.6
USC00288644	SUSSEX	19970117	0	56	-128	0	56	-128	125	41.21667	-74.6
USC00288644	SUSSEX	19970118	0	-106	-161	0	-106	-161	125	41.21667	-74.6
USC00288644	SUSSEX	19970119	0	-100	-178	0	-100	-178	125	41.21667	-74.6
USC00288644	SUSSEX	19970120	0	-72	-161	0	-72	-161	125	41.21667	-74.6
USC00288644	SUSSEX	19970121	0	-11	-161	0	-11	-161	125	41.21667	-74.6
USC00288644	SUSSEX	19970122	0	28	-83	0	28	-83	125	41.21667	-74.6
USC00288644	SUSSEX	19970123	0	22	-22	0	22	-22	125	41.21667	-74.6
USC00288644	SUSSEX	19970124	0	67	22	0	67	22	125	41.21667	-74.6
USC00288644	SUSSEX	19970125	0	78	-106	0	78	-106	125	41.21667	-74.6
USC00288644	SUSSEX	19970126	0	61	-44	0	61	-44	125	41.21667	-74.6
USC00288644	SUSSEX	19970127	0	-6	-100	0	-6	-100	125	41.21667	-74.6
USC00288644	SUSSEX	19970128	9999	28	-100	NA	28	-100	125	41.21667	-74.6
USC00288644	SUSSEX	19970129	9999	39	-89	NA	39	-89	125	41.21667	-74.6
USC00288644	SUSSEX	19970130	0	-33	-117	0	-33	-117	125	41.21667	-74.6
USC00288644	SUSSEX	19970131	0	-33	-117	0	-33	-117	125	41.21667	-74.6
USC00288644	SUSSEX	19980101	102	11	-167	102	11	-167	125	41.21667	-74.6
USC00288644	SUSSEX	19980102	76	-11	-78	76	-11	-78	125	41.21667	-74.6
USC00288644	SUSSEX	19980103	51	78	39	51	78	39	125	41.21667	-74.6
