STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00288648	SUSSEX8	19950101	0	89	-6	0	89	-6	310.9	41.31667	-74.63333
USC00288648	SUSSEX8	19950102	25	39	-83	25	39	-83	310.9	41.31667	-74.63333
USC00288649	SUSSEX8	19950103	25	-28	-100	25	-28	-100	310.9	41.31667	-74.63333
USC00288650	SUSSEX8	19950104	25	-22	-122	25	-22	-122	310.9	41.31667	-74.63333
USC00288651	SUSSEX8	19950105	25	-56	-139	25	-56	-139	310.9	41.31667	-74.63333
USC00288652	SUSSEX8	19950106	0	-6	-106	0	-6	-106	310.9	41.31667	-74.63333
USC00288653	SUSSEX8	19950107	0	39	-22	0	39	-22	310.9	41.31667	-74.63333
USC00288654	SUSSEX8	19950108	0	0	-61	0	0	-61	310.9	41.31667	-74.63333
USC00288655	SUSSEX8	19950109	0	6	-83	0	6	-83	310.9	41.31667	-74.63333
USC00288656	SUSSEX8	19950110	0	-22	-100	0	-22	-100	310.9	41.31667	-74.63333
USC00288657	SUSSEX8	19950111	0	-56	-78	0	-56	-78	310.9	41.31667	-74.63333
USC00288658	SUSSEX8	19950112	0	83	-56	0	83	-56	310.9	41.31667	-74.63333
USC00288659	SUSSEX8	19950113	0	106	44	0	106	44	310.9	41.31667	-74.63333
USC00288660	SUSSEX8	19950114	0	161	56	0	161	56	310.9	41.31667	-74.63333
USC00288661	SUSSEX8	19950115	0	150	122	0	150	122	310.9	41.31667	-74.63333
USC00288662	SUSSEX8	19950116	0	139	50	0	139	50	310.9	41.31667	-74.63333
USC00288663	SUSSEX8	19950117	0	83	17	0	83	17	310.9	41.31667	-74.63333
USC00288664	SUSSEX8	19950118	0	33	6	0	33	6	310.9	41.31667	-74.63333
USC00288665	SUSSEX8	19950119	0	33	6	0	33	6	310.9	41.31667	-74.63333
USC00288666	SUSSEX8	19950120	0	56	22	0	56	22	310.9	41.31667	-74.63333
USC00288667	SUSSEX8	19950121	0	44	-11	0	44	-11	310.9	41.31667	-74.63333
USC00288668	SUSSEX8	19950122	51	-6	-50	51	-6	-50	310.9	41.31667	-74.63333
USC00288669	SUSSEX8	19950123	25	6	-67	25	6	-67	310.9	41.31667	-74.63333
USC00288670	SUSSEX8	19950124	25	6	-33	25	6	-33	310.9	41.31667	-74.63333
USC00288671	SUSSEX8	19950125	25	11	-33	25	11	-33	310.9	41.31667	-74.63333
USC00288672	SUSSEX8	19950126	25	11	-39	25	11	-39	310.9	41.31667	-74.63333
USC00288673	SUSSEX8	19950127	25	6	-83	25	6	-83	310.9	41.31667	-74.63333
USC00288674	SUSSEX8	19950128	25	-17	-128	25	-17	-128	310.9	41.31667	-74.63333
USC00288675	SUSSEX8	19950129	25	0	-144	25	0	-144	310.9	41.31667	-74.63333
USC00288676	SUSSEX8	19950130	0	33	-106	0	33	-106	310.9	41.31667	-74.63333
USC00288677	SUSSEX8	19950131	0	50	-50	0	50	-50	310.9	41.31667	-74.63333
USC00288678	SUSSEX8	19960101	127	39	-28	127	39	-28	310.9	41.31667	-74.63333
USC00288679	SUSSEX8	19960102	203	-11	-106	203	-11	-106	310.9	41.31667	-74.63333
USC00288680	SUSSEX8	19960103	279	-67	-117	279	-67	-117	310.9	41.31667	-74.63333
USC00288681	SUSSEX8	19960104	279	-83	-156	279	-83	-156	310.9	41.31667	-74.63333
USC00288682	SUSSEX8	19960105	279	-61	-183	279	-61	-183	310.9	41.31667	-74.63333
USC00288683	SUSSEX8	19960106	279	-100	-194	279	-100	-194	310.9	41.31667	-74.63333
USC00288684	SUSSEX8	19960107	432	-106	-172	432	-106	-172	310.9	41.31667	-74.63333
USC00288685	SUSSEX8	19960108	889	-67	-128	889	-67	-128	310.9	41.31667	-74.63333
USC00288686	SUSSEX8	19960109	813	-39	-139	813	-39	-139	310.9	41.31667	-74.63333
USC00288687	SUSSEX8	19960110	813	-28	-100	813	-28	-100	310.9	41.31667	-74.63333
USC00288688	SUSSEX8	19960111	813	-33	-128	813	-33	-128	310.9	41.31667	-74.63333
USC00288689	SUSSEX8	19960112	940	-11	-111	940	-11	-111	310.9	41.31667	-74.63333
USC00288690	SUSSEX8	19960113	914	-11	-56	914	-11	-56	310.9	41.31667	-74.63333
USC00288691	SUSSEX8	19960114	813	50	-67	813	50	-67	310.9	41.31667	-74.63333
