STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00368873	TIONESTA	19950101	0	44	22	0	44	22	365.8	41.4792	-79.4432
USC00368873	TIONESTA	19950102	25	44	-78	25	44	-78	365.8	41.4792	-79.4432
USC00368873	TIONESTA	19950103	25	-50	-67	25	-50	-67	365.8	41.4792	-79.4432
USC00368873	TIONESTA	19950104	25	-67	-128	25	-67	-128	365.8	41.4792	-79.4432
USC00368873	TIONESTA	19950105	25	-94	-167	25	-94	-167	365.8	41.4792	-79.4432
USC00368873	TIONESTA	19950106	25	-78	-167	25	-78	-167	365.8	41.4792	-79.4432
USC00368873	TIONESTA	19950107	25	11	-133	25	11	-133	365.8	41.4792	-79.4432
USC00368873	TIONESTA	19950108	25	0	-56	25	0	-56	365.8	41.4792	-79.4432
USC00368873	TIONESTA	19950109	25	-22	-67	25	-22	-67	365.8	41.4792	-79.4432
USC00368873	TIONESTA	19950110	25	-56	-122	25	-56	-122	365.8	41.4792	-79.4432
USC00368873	TIONESTA	19950111	25	-33	-39	25	-33	-39	365.8	41.4792	-79.4432
USC00368873	TIONESTA	19950112	25	22	11	25	22	11	365.8	41.4792	-79.4432
USC00368873	TIONESTA	19950113	0	44	11	0	44	11	365.8	41.4792	-79.4432
USC00368873	TIONESTA	19950114	0	167	11	0	167	11	365.8	41.4792	-79.4432
USC00368873	TIONESTA	19950115	0	178	44	0	178	44	365.8	41.4792	-79.4432
USC00368873	TIONESTA	19950116	0	156	11	0	156	11	365.8	41.4792	-79.4432
USC00368873	TIONESTA	19950117	0	33	11	0	33	11	365.8	41.4792	-79.4432
USC00368873	TIONESTA	19950118	0	33	11	0	33	11	365.8	41.4792	-79.4432
USC00368873	TIONESTA	19950119	0	144	22	0	144	22	365.8	41.4792	-79.4432
USC00368873	TIONESTA	19950120	0	111	33	0	111	33	365.8	41.4792	-79.4432
USC00368873	TIONESTA	19950121	0	56	0	0	56	0	365.8	41.4792	-79.4432
USC00368873	TIONESTA	19950122	51	6	-67	51	6	-67	365.8	41.4792	-79.4432
USC00368873	TIONESTA	19950123	51	-22	-72	51	-22	-72	365.8	41.4792	-79.4432
USC00368873	TIONESTA	19950124	51	-17	-78	51	-17	-78	365.8	41.4792	-79.4432
USC00368873	TIONESTA	19950125	51	0	-50	51	0	-50	365.8	41.4792	-79.4432
USC00368873	TIONESTA	19950126	76	-22	-56	76	-22	-56	365.8	41.4792	-79.4432
USC00368873	TIONESTA	19950127	51	-11	-67	51	-11	-67	365.8	41.4792	-79.4432
USC00368873	TIONESTA	19950128	51	0	-78	51	0	-78	365.8	41.4792	-79.4432
USC00368873	TIONESTA	19950129	25	11	-167	25	11	-167	365.8	41.4792	-79.4432
USC00368873	TIONESTA	19950130	25	-11	-156	25	-11	-156	365.8	41.4792	-79.4432
USC00368873	TIONESTA	19950131	0	9999	-133	0	NA	-133	365.8	41.4792	-79.4432
USC00368873	TIONESTA	19960101	203	22	-11	203	22	-11	365.8	41.4792	-79.4432
USC00368873	TIONESTA	19960102	178	11	0	178	11	0	365.8	41.4792	-79.4432
USC00368873	TIONESTA	19960103	254	0	-72	254	0	-72	365.8	41.4792	-79.4432
USC00368873	TIONESTA	19960104	279	-67	-233	279	-67	-233	365.8	41.4792	-79.4432
