STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00368905	TOWANDA	19950101	0	39	-67	0	39	-67	231.6	41.7511	-76.4430
USC00368905	TOWANDA	19950102	0	94	6	0	94	6	231.6	41.7511	-76.4430
USC00368905	TOWANDA	19950103	0	6	-83	0	6	-83	231.6	41.7511	-76.4430
USC00368905	TOWANDA	19950104	0	-22	-89	0	-22	-89	231.6	41.7511	-76.4430
USC00368905	TOWANDA	19950105	0	-50	-133	0	-50	-133	231.6	41.7511	-76.4430
USC00368905	TOWANDA	19950106	0	-56	-133	0	-56	-133	231.6	41.7511	-76.4430
USC00368905	TOWANDA	19950107	0	6	-111	0	6	-111	231.6	41.7511	-76.4430
USC00368905	TOWANDA	19950108	0	11	-72	0	11	-72	231.6	41.7511	-76.4430
USC00368905	TOWANDA	19950109	0	6	-78	0	6	-78	231.6	41.7511	-76.4430
USC00368905	TOWANDA	19950110	0	-6	-122	0	-6	-122	231.6	41.7511	-76.4430
USC00368905	TOWANDA	19950111	0	-33	-117	0	-33	-117	231.6	41.7511	-76.4430
USC00368905	TOWANDA	19950112	0	56	-39	0	56	-39	231.6	41.7511	-76.4430
USC00368905	TOWANDA	19950113	0	94	39	0	94	39	231.6	41.7511	-76.4430
USC00368905	TOWANDA	19950114	0	178	6	0	178	6	231.6	41.7511	-76.4430
USC00368905	TOWANDA	19950115	0	183	33	0	183	33	231.6	41.7511	-76.4430
USC00368905	TOWANDA	19950116	0	178	133	0	178	133	231.6	41.7511	-76.4430
USC00368905	TOWANDA	19950117	0	139	22	0	139	22	231.6	41.7511	-76.4430
USC00368905	TOWANDA	19950118	0	33	6	0	33	6	231.6	41.7511	-76.4430
USC00368905	TOWANDA	19950119	0	72	11	0	72	11	231.6	41.7511	-76.4430
USC00368905	TOWANDA	19950120	0	72	50	0	72	50	231.6	41.7511	-76.4430
USC00368905	TOWANDA	19950121	0	83	11	0	83	11	231.6	41.7511	-76.4430
USC00368905	TOWANDA	19950122	0	33	-28	0	33	-28	231.6	41.7511	-76.4430
USC00368905	TOWANDA	19950123	25	-11	-67	25	-11	-67	231.6	41.7511	-76.4430
USC00368905	TOWANDA	19950124	25	-6	-72	25	-6	-72	231.6	41.7511	-76.4430
USC00368905	TOWANDA	19950125	25	11	-28	25	11	-28	231.6	41.7511	-76.4430
USC00368905	TOWANDA	19950126	0	22	-28	0	22	-28	231.6	41.7511	-76.4430
USC00368905	TOWANDA	19950127	0	0	-39	0	0	-39	231.6	41.7511	-76.4430
USC00368905	TOWANDA	19950128	0	-6	-111	0	-6	-111	231.6	41.7511	-76.4430
USC00368905	TOWANDA	19950129	0	-44	-150	0	-44	-150	231.6	41.7511	-76.4430
USC00368905	TOWANDA	19950130	0	-11	-156	0	-11	-156	231.6	41.7511	-76.4430
USC00368905	TOWANDA	19950131	0	28	-144	0	28	-144	231.6	41.7511	-76.4430
USC00368905	TOWANDA	19960101	127	22	-94	127	22	-94	231.6	41.7511	-76.4430
