STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00308670	UNADILLA	19950101	0	9999	9999	0	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19950102	51	9999	9999	51	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19950103	51	9999	9999	51	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19950104	51	9999	9999	51	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19950105	76	9999	9999	76	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19950106	51	9999	9999	51	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19950107	51	9999	9999	51	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19950108	51	9999	9999	51	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19950109	51	9999	9999	51	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19950110	51	9999	9999	51	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19950111	76	9999	9999	76	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19950112	25	9999	9999	25	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19950113	0	9999	9999	0	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19950114	0	9999	9999	0	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19950115	0	9999	9999	0	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19950116	0	9999	9999	0	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19950117	0	9999	9999	0	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19950118	0	9999	9999	0	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19950119	0	9999	9999	0	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19950120	0	9999	9999	0	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19950121	0	9999	9999	0	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19950122	25	9999	9999	25	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19950123	76	9999	9999	76	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19950124	76	9999	9999	76	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19950125	102	9999	9999	102	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19950126	76	9999	9999	76	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19950127	102	9999	9999	102	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19950128	51	9999	9999	51	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19950129	51	9999	9999	51	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19950130	51	9999	9999	51	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19950131	25	9999	9999	25	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19960101	152	9999	9999	152	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19960102	178	9999	9999	178	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19960103	406	9999	9999	406	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19960104	381	9999	9999	381	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19960105	381	9999	9999	381	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19960106	381	9999	9999	381	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19960107	381	9999	9999	381	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19960108	381	9999	9999	381	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19960109	381	9999	9999	381	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19960110	432	9999	9999	432	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19960111	432	9999	9999	432	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19960112	432	9999	9999	432	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19960113	711	9999	9999	711	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19960114	711	9999	9999	711	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19960115	686	9999	9999	686	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19960116	686	9999	9999	686	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19960117	381	9999	9999	381	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19960118	305	9999	9999	305	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19960119	9999	9999	9999	NA	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19960120	25	9999	9999	25	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19960121	25	9999	9999	25	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19960122	25	9999	9999	25	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19960123	0	9999	9999	0	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19960124	0	9999	9999	0	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19960125	25	9999	9999	25	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19960126	25	9999	9999	25	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19960127	0	9999	9999	0	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19960128	0	9999	9999	0	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19960129	25	9999	9999	25	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19960130	0	9999	9999	0	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19960131	25	9999	9999	25	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19970101	25	9999	9999	25	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19970102	51	9999	9999	51	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19970103	0	9999	9999	0	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19970104	0	9999	9999	0	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19970105	0	9999	9999	0	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19970106	0	9999	9999	0	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19970107	25	9999	9999	25	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19970108	51	9999	9999	51	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19970109	25	9999	9999	25	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19970110	76	9999	9999	76	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19970111	76	9999	9999	76	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19970112	76	9999	9999	76	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19970113	76	9999	9999	76	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19970114	76	9999	9999	76	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19970115	76	9999	9999	76	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19970116	76	9999	9999	76	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19970117	102	9999	9999	102	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19970118	102	9999	9999	102	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19970119	102	9999	9999	102	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19970120	102	9999	9999	102	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19970121	76	9999	9999	76	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19970122	76	9999	9999	76	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19970123	25	9999	9999	25	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19970124	25	9999	9999	25	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19970125	0	9999	9999	0	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19970126	25	9999	9999	25	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19970127	25	9999	9999	25	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19970128	76	9999	9999	76	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19970129	102	9999	9999	102	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19970130	76	9999	9999	76	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19970131	76	9999	9999	76	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19980101	254	9999	9999	254	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19980102	229	9999	9999	229	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19980103	152	9999	9999	152	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19980104	76	9999	9999	76	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19980105	25	9999	9999	25	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19980106	0	9999	9999	0	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19980107	0	9999	9999	0	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19980108	0	9999	9999	0	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19980109	0	9999	9999	0	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19980110	0	9999	9999	0	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19980111	0	9999	9999	0	NA	NA	451.1	42.354	-75.324
USC00308670	UNADILLA	19980112	0	9999	9999	0	NA	NA	451.1	42.354	-75.324
