STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00369298	WARREN	19950101	51	56	-100	51	56	-100	368.8	41.8467	-79.1494
USC00369298	WARREN	19950102	51	-56	-89	51	-56	-89	368.8	41.8467	-79.1494
USC00369298	WARREN	19950103	51	-56	-89	51	-56	-89	368.8	41.8467	-79.1494
USC00369298	WARREN	19950104	51	-39	-111	51	-39	-111	368.8	41.8467	-79.1494
USC00369298	WARREN	19950105	51	-94	-156	51	-94	-156	368.8	41.8467	-79.1494
USC00369298	WARREN	19950106	51	-83	-156	51	-83	-156	368.8	41.8467	-79.1494
USC00369298	WARREN	19950107	51	6	-100	51	6	-100	368.8	41.8467	-79.1494
USC00369298	WARREN	19950108	51	-17	-67	51	-17	-67	368.8	41.8467	-79.1494
USC00369298	WARREN	19950109	51	-39	-67	51	-39	-67	368.8	41.8467	-79.1494
USC00369298	WARREN	19950110	51	-56	-111	51	-56	-111	368.8	41.8467	-79.1494
USC00369298	WARREN	19950111	51	-39	-100	51	-39	-100	368.8	41.8467	-79.1494
USC00369298	WARREN	19950112	25	33	-39	25	33	-39	368.8	41.8467	-79.1494
USC00369298	WARREN	19950113	0	128	33	0	128	33	368.8	41.8467	-79.1494
USC00369298	WARREN	19950114	0	172	72	0	172	72	368.8	41.8467	-79.1494
USC00369298	WARREN	19950115	0	178	94	0	178	94	368.8	41.8467	-79.1494
USC00369298	WARREN	19950116	0	167	28	0	167	28	368.8	41.8467	-79.1494
USC00369298	WARREN	19950117	0	28	0	0	28	0	368.8	41.8467	-79.1494
USC00369298	WARREN	19950118	0	39	6	0	39	6	368.8	41.8467	-79.1494
USC00369298	WARREN	19950119	0	128	33	0	128	33	368.8	41.8467	-79.1494
USC00369298	WARREN	19950120	0	100	56	0	100	56	368.8	41.8467	-79.1494
USC00369298	WARREN	19950121	0	67	6	0	67	6	368.8	41.8467	-79.1494
USC00369298	WARREN	19950122	51	6	-56	51	6	-56	368.8	41.8467	-79.1494
USC00369298	WARREN	19950123	51	-39	-67	51	-39	-67	368.8	41.8467	-79.1494
USC00369298	WARREN	19950124	51	-33	-67	51	-33	-67	368.8	41.8467	-79.1494
USC00369298	WARREN	19950125	76	-6	-39	76	-6	-39	368.8	41.8467	-79.1494
USC00369298	WARREN	19950126	102	-6	-50	102	-6	-50	368.8	41.8467	-79.1494
USC00369298	WARREN	19950127	127	-28	-61	127	-28	-61	368.8	41.8467	-79.1494
USC00369298	WARREN	19950128	127	-17	-89	127	-17	-89	368.8	41.8467	-79.1494
USC00369298	WARREN	19950129	102	-22	-167	102	-22	-167	368.8	41.8467	-79.1494
USC00369298	WARREN	19950130	76	28	-167	76	28	-167	368.8	41.8467	-79.1494
USC00369298	WARREN	19950131	76	6	-128	76	6	-128	368.8	41.8467	-79.1494
USC00369298	WARREN	19960101	229	28	-56	229	28	-56	368.8	41.8467	-79.1494
USC00369298	WARREN	19960102	152	17	-28	152	17	-28	368.8	41.8467	-79.1494
USC00369298	WARREN	19960103	381	-22	-89	381	-22	-89	368.8	41.8467	-79.1494
USC00369298	WARREN	19960104	432	-78	-189	432	-78	-189	368.8	41.8467	-79.1494
USC00369298	WARREN	19960105	457	-83	-189	457	-83	-189	368.8	41.8467	-79.1494
USC00369298	WARREN	19960106	483	-78	-206	483	-78	-206	368.8	41.8467	-79.1494
USC00369298	WARREN	19960107	483	-83	-222	483	-83	-222	368.8	41.8467	-79.1494
USC00369298	WARREN	19960108	483	-83	-222	483	-83	-222	368.8	41.8467	-79.1494
USC00369298	WARREN	19960109	483	-61	-133	483	-61	-133	368.8	41.8467	-79.1494
USC00369298	WARREN	19960110	559	-50	-106	559	-50	-106	368.8	41.8467	-79.1494
USC00369298	WARREN	19960111	508	-78	-217	508	-78	-217	368.8	41.8467	-79.1494
USC00369298	WARREN	19960112	508	-72	-133	508	-72	-133	368.8	41.8467	-79.1494
USC00369298	WARREN	19960113	508	-44	-83	508	-44	-83	368.8	41.8467	-79.1494
USC00369298	WARREN	19960114	508	-17	-78	508	-17	-78	368.8	41.8467	-79.1494
USC00369298	WARREN	19960115	457	50	-61	457	50	-61	368.8	41.8467	-79.1494
USC00369298	WARREN	19960116	432	-72	-139	432	-72	-139	368.8	41.8467	-79.1494
USC00369298	WARREN	19960117	9999	44	-78	NA	44	-78	368.8	41.8467	-79.1494
USC00369298	WARREN	19960118	432	72	33	432	72	33	368.8	41.8467	-79.1494
USC00369298	WARREN	19960119	0	133	72	0	133	72	368.8	41.8467	-79.1494
USC00369298	WARREN	19960120	0	89	-106	0	89	-106	368.8	41.8467	-79.1494
USC00369298	WARREN	19960121	0	-50	-106	0	-50	-106	368.8	41.8467	-79.1494
USC00369298	WARREN	19960122	0	17	-72	0	17	-72	368.8	41.8467	-79.1494
USC00369298	WARREN	19960123	0	56	-67	0	56	-67	368.8	41.8467	-79.1494
USC00369298	WARREN	19960124	0	61	11	0	61	11	368.8	41.8467	-79.1494
USC00369298	WARREN	19960125	0	72	-89	0	72	-89	368.8	41.8467	-79.1494
USC00369298	WARREN	19960126	0	-33	-89	0	-33	-89	368.8	41.8467	-79.1494
USC00369298	WARREN	19960127	0	78	-33	0	78	-33	368.8	41.8467	-79.1494
USC00369298	WARREN	19960128	25	89	-72	25	89	-72	368.8	41.8467	-79.1494
USC00369298	WARREN	19960129	25	-33	-83	25	-33	-83	368.8	41.8467	-79.1494
