STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00369318	WASHINGTON	19950101	0	72	-6	0	72	-6	396.2	40.1789	-80.1889
USC00369318	WASHINGTON	19950102	25	78	-89	25	78	-89	396.2	40.1789	-80.1889
USC00369318	WASHINGTON	19950103	25	-61	-94	25	-61	-94	396.2	40.1789	-80.1889
USC00369318	WASHINGTON	19950104	25	-39	-128	25	-39	-128	396.2	40.1789	-80.1889
USC00369318	WASHINGTON	19950105	0	-94	-172	0	-94	-172	396.2	40.1789	-80.1889
USC00369318	WASHINGTON	19950106	0	-78	-172	0	-78	-172	396.2	40.1789	-80.1889
USC00369318	WASHINGTON	19950107	0	56	-78	0	56	-78	396.2	40.1789	-80.1889
USC00369318	WASHINGTON	19950108	0	0	-50	0	0	-50	396.2	40.1789	-80.1889
USC00369318	WASHINGTON	19950109	0	-6	-44	0	-6	-44	396.2	40.1789	-80.1889
USC00369318	WASHINGTON	19950110	0	11	-83	0	11	-83	396.2	40.1789	-80.1889
USC00369318	WASHINGTON	19950111	25	-11	-17	25	-11	-17	396.2	40.1789	-80.1889
USC00369318	WASHINGTON	19950112	0	94	-17	0	94	-17	396.2	40.1789	-80.1889
USC00369318	WASHINGTON	19950113	0	150	89	0	150	89	396.2	40.1789	-80.1889
USC00369318	WASHINGTON	19950114	0	194	94	0	194	94	396.2	40.1789	-80.1889
USC00369318	WASHINGTON	19950115	0	194	117	0	194	117	396.2	40.1789	-80.1889
USC00369318	WASHINGTON	19950116	0	144	0	0	144	0	396.2	40.1789	-80.1889
USC00369318	WASHINGTON	19950117	0	6	-17	0	6	-17	396.2	40.1789	-80.1889
USC00369318	WASHINGTON	19950118	0	11	-17	0	11	-17	396.2	40.1789	-80.1889
USC00369318	WASHINGTON	19950119	0	100	0	0	100	0	396.2	40.1789	-80.1889
USC00369318	WASHINGTON	19950120	0	144	28	0	144	28	396.2	40.1789	-80.1889
USC00369318	WASHINGTON	19950121	25	39	-33	25	39	-33	396.2	40.1789	-80.1889
USC00369318	WASHINGTON	19950122	76	-28	-72	76	-28	-72	396.2	40.1789	-80.1889
USC00369318	WASHINGTON	19950123	102	-44	-106	102	-44	-106	396.2	40.1789	-80.1889
USC00369318	WASHINGTON	19950124	102	-33	-106	102	-33	-106	396.2	40.1789	-80.1889
USC00369318	WASHINGTON	19950125	102	-44	-89	102	-44	-89	396.2	40.1789	-80.1889
USC00369318	WASHINGTON	19950126	76	-39	-106	76	-39	-106	396.2	40.1789	-80.1889
USC00369318	WASHINGTON	19950127	76	-33	-106	76	-33	-106	396.2	40.1789	-80.1889
USC00369318	WASHINGTON	19950128	76	-6	-94	76	-6	-94	396.2	40.1789	-80.1889
USC00369318	WASHINGTON	19950129	51	-6	-106	51	-6	-106	396.2	40.1789	-80.1889
USC00369318	WASHINGTON	19950130	51	22	-100	51	22	-100	396.2	40.1789	-80.1889
USC00369318	WASHINGTON	19950131	25	22	-78	25	22	-78	396.2	40.1789	-80.1889
USC00369318	WASHINGTON	19960101	51	44	-6	51	44	-6	396.2	40.1789	-80.1889
