STATION	STATION_NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00309047	WAVERLY	19950101	0	33	-117	0	33	-117	257.6	42.001	-76.525
USC00309047	WAVERLY	19950102	0	78	-17	0	78	-17	257.6	42.001	-76.525
USC00309047	WAVERLY	19950103	0	-11	-89	0	-11	-89	257.6	42.001	-76.525
USC00309047	WAVERLY	19950104	0	-22	-89	0	-22	-89	257.6	42.001	-76.525
USC00309047	WAVERLY	19950105	0	-22	-133	0	-22	-133	257.6	42.001	-76.525
USC00309047	WAVERLY	19950106	0	-56	-133	0	-56	-133	257.6	42.001	-76.525
USC00309047	WAVERLY	19950107	0	-11	-106	0	-11	-106	257.6	42.001	-76.525
USC00309047	WAVERLY	19950108	0	6	-67	0	6	-67	257.6	42.001	-76.525
USC00309047	WAVERLY	19950109	0	6	-61	0	6	-61	257.6	42.001	-76.525
USC00309047	WAVERLY	19950110	0	-6	-111	0	-6	-111	257.6	42.001	-76.525
USC00309047	WAVERLY	19950111	0	-22	-111	0	-22	-111	257.6	42.001	-76.525
USC00309047	WAVERLY	19950112	0	44	-39	0	44	-39	257.6	42.001	-76.525
USC00309047	WAVERLY	19950113	0	83	33	0	83	33	257.6	42.001	-76.525
USC00309047	WAVERLY	19950114	0	189	0	0	189	0	257.6	42.001	-76.525
USC00309047	WAVERLY	19950115	0	178	28	0	178	28	257.6	42.001	-76.525
USC00309047	WAVERLY	19950116	0	167	106	0	167	106	257.6	42.001	-76.525
USC00309047	WAVERLY	19950117	0	133	17	0	133	17	257.6	42.001	-76.525
USC00309047	WAVERLY	19950118	0	33	0	0	33	0	257.6	42.001	-76.525
USC00309047	WAVERLY	19950119	0	72	6	0	72	6	257.6	42.001	-76.525
USC00309047	WAVERLY	19950120	0	67	50	0	67	50	257.6	42.001	-76.525
USC00309047	WAVERLY	19950121	0	78	22	0	78	22	257.6	42.001	-76.525
USC00309047	WAVERLY	19950122	0	33	-33	0	33	-33	257.6	42.001	-76.525
USC00309047	WAVERLY	19950123	25	-11	-78	25	-11	-78	257.6	42.001	-76.525
USC00309047	WAVERLY	19950124	25	-11	-83	25	-11	-83	257.6	42.001	-76.525
USC00309047	WAVERLY	19950125	25	11	-22	25	11	-22	257.6	42.001	-76.525
USC00309047	WAVERLY	19950126	76	17	-39	76	17	-39	257.6	42.001	-76.525
USC00309047	WAVERLY	19950127	76	-6	-39	76	-6	-39	257.6	42.001	-76.525
USC00309047	WAVERLY	19950128	51	-11	-144	51	-11	-144	257.6	42.001	-76.525
USC00309047	WAVERLY	19950129	51	-44	-178	51	-44	-178	257.6	42.001	-76.525
USC00309047	WAVERLY	19950130	51	-11	-178	51	-11	-178	257.6	42.001	-76.525
USC00309047	WAVERLY	19950131	25	28	-150	25	28	-150	257.6	42.001	-76.525
USC00309047	WAVERLY	19960101	152	39	-89	152	39	-89	257.6	42.001	-76.525
USC00309047	WAVERLY	19960102	127	39	-44	127	39	-44	257.6	42.001	-76.525
USC00309047	WAVERLY	19960103	381	-33	-94	381	-33	-94	257.6	42.001	-76.525
USC00309047	WAVERLY	19960104	381	-78	-167	381	-78	-167	257.6	42.001	-76.525
