STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00369367	WAYNESBURG	19950101	0	78	-56	0	78	-56	286.5	39.8986	-80.1656
USC00369367	WAYNESBURG	19950102	25	89	-72	25	89	-72	286.5	39.8986	-80.1656
USC00369367	WAYNESBURG	19950103	0	-44	-89	0	-44	-89	286.5	39.8986	-80.1656
USC00369367	WAYNESBURG	19950104	25	-22	-117	25	-22	-117	286.5	39.8986	-80.1656
USC00369367	WAYNESBURG	19950105	0	-83	-161	0	-83	-161	286.5	39.8986	-80.1656
USC00369367	WAYNESBURG	19950106	0	-67	-161	0	-67	-161	286.5	39.8986	-80.1656
USC00369367	WAYNESBURG	19950107	0	67	-111	0	67	-111	286.5	39.8986	-80.1656
USC00369367	WAYNESBURG	19950108	0	22	-39	0	22	-39	286.5	39.8986	-80.1656
USC00369367	WAYNESBURG	19950109	0	11	-56	0	11	-56	286.5	39.8986	-80.1656
USC00369367	WAYNESBURG	19950110	0	39	-56	0	39	-56	286.5	39.8986	-80.1656
USC00369367	WAYNESBURG	19950111	0	-6	-56	0	-6	-56	286.5	39.8986	-80.1656
USC00369367	WAYNESBURG	19950112	0	106	-6	0	106	-6	286.5	39.8986	-80.1656
USC00369367	WAYNESBURG	19950113	0	172	56	0	172	56	286.5	39.8986	-80.1656
USC00369367	WAYNESBURG	19950114	0	200	17	0	200	17	286.5	39.8986	-80.1656
USC00369367	WAYNESBURG	19950115	0	217	44	0	217	44	286.5	39.8986	-80.1656
USC00369367	WAYNESBURG	19950116	0	150	11	0	150	11	286.5	39.8986	-80.1656
USC00369367	WAYNESBURG	19950117	0	22	-6	0	22	-6	286.5	39.8986	-80.1656
USC00369367	WAYNESBURG	19950118	0	22	-6	0	22	-6	286.5	39.8986	-80.1656
USC00369367	WAYNESBURG	19950119	0	133	-22	0	133	-22	286.5	39.8986	-80.1656
USC00369367	WAYNESBURG	19950120	0	161	-22	0	161	-22	286.5	39.8986	-80.1656
USC00369367	WAYNESBURG	19950121	25	28	-17	25	28	-17	286.5	39.8986	-80.1656
USC00369367	WAYNESBURG	19950122	76	-17	-61	76	-17	-61	286.5	39.8986	-80.1656
USC00369367	WAYNESBURG	19950123	102	-33	-133	102	-33	-133	286.5	39.8986	-80.1656
USC00369367	WAYNESBURG	19950124	102	-22	-139	102	-22	-139	286.5	39.8986	-80.1656
USC00369367	WAYNESBURG	19950125	51	-39	-117	51	-39	-117	286.5	39.8986	-80.1656
USC00369367	WAYNESBURG	19950126	25	-17	-128	25	-17	-128	286.5	39.8986	-80.1656
USC00369367	WAYNESBURG	19950127	25	-28	-128	25	-28	-128	286.5	39.8986	-80.1656
USC00369367	WAYNESBURG	19950128	0	6	-133	0	6	-133	286.5	39.8986	-80.1656
USC00369367	WAYNESBURG	19950129	0	11	-89	0	11	-89	286.5	39.8986	-80.1656
USC00369367	WAYNESBURG	19950130	0	44	-94	0	44	-94	286.5	39.8986	-80.1656
