STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00308906	WALDEN	19950101	0	22	-78	0	22	-78	115.8	41.55	-74.16667
USC00308906	WALDEN	19950102	25	83	0	25	83	0	115.8	41.55	-74.16667
USC00308906	WALDEN	19950103	0	28	-83	0	28	-83	115.8	41.55	-74.16667
USC00308906	WALDEN	19950104	0	-28	-83	0	-28	-83	115.8	41.55	-74.16667
USC00308906	WALDEN	19950105	0	-17	-117	0	-17	-117	115.8	41.55	-74.16667
USC00308906	WALDEN	19950106	0	-44	-117	0	-44	-117	115.8	41.55	-74.16667
USC00308906	WALDEN	19950107	0	6	-94	0	6	-94	115.8	41.55	-74.16667
USC00308906	WALDEN	19950108	0	61	-44	0	61	-44	115.8	41.55	-74.16667
USC00308906	WALDEN	19950109	0	11	-83	0	11	-83	115.8	41.55	-74.16667
USC00308906	WALDEN	19950110	0	11	-122	0	11	-122	115.8	41.55	-74.16667
USC00308906	WALDEN	19950111	0	-22	-94	0	-22	-94	115.8	41.55	-74.16667
USC00308906	WALDEN	19950112	25	-17	-94	25	-17	-94	115.8	41.55	-74.16667
USC00308906	WALDEN	19950113	0	67	-17	0	67	-17	115.8	41.55	-74.16667
USC00308906	WALDEN	19950114	0	133	0	0	133	0	115.8	41.55	-74.16667
USC00308906	WALDEN	19950115	0	156	39	0	156	39	115.8	41.55	-74.16667
USC00308906	WALDEN	19950116	0	178	122	0	178	122	115.8	41.55	-74.16667
USC00308906	WALDEN	19950117	0	144	50	0	144	50	115.8	41.55	-74.16667
USC00308906	WALDEN	19950118	0	83	17	0	83	17	115.8	41.55	-74.16667
USC00308906	WALDEN	19950119	0	50	17	0	50	17	115.8	41.55	-74.16667
USC00308906	WALDEN	19950120	0	44	17	0	44	17	115.8	41.55	-74.16667
USC00308906	WALDEN	19950121	0	72	22	0	72	22	115.8	41.55	-74.16667
USC00308906	WALDEN	19950122	0	50	-6	0	50	-6	115.8	41.55	-74.16667
USC00308906	WALDEN	19950123	25	28	-44	25	28	-44	115.8	41.55	-74.16667
USC00308906	WALDEN	19950124	0	22	-39	0	22	-39	115.8	41.55	-74.16667
USC00308906	WALDEN	19950125	0	17	-11	0	17	-11	115.8	41.55	-74.16667
USC00308906	WALDEN	19950126	0	39	-11	0	39	-11	115.8	41.55	-74.16667
USC00308906	WALDEN	19950127	0	22	-33	0	22	-33	115.8	41.55	-74.16667
USC00308906	WALDEN	19950128	0	17	-122	0	17	-122	115.8	41.55	-74.16667
USC00308906	WALDEN	19950129	0	-11	-117	0	-11	-117	115.8	41.55	-74.16667
USC00308906	WALDEN	19950130	0	0	-122	0	0	-122	115.8	41.55	-74.16667
USC00308906	WALDEN	19950131	0	50	-106	0	50	-106	115.8	41.55	-74.16667
USC00308906	WALDEN	19960101	178	39	-67	178	39	-67	115.8	41.55	-74.16667
USC00308906	WALDEN	19960102	152	28	-61	152	28	-61	115.8	41.55	-74.16667
USC00308906	WALDEN	19960103	254	-56	-111	254	-56	-111	115.8	41.55	-74.16667
USC00308906	WALDEN	19960104	305	-78	-178	305	-78	-178	115.8	41.55	-74.16667
USC00308906	WALDEN	19960105	305	-94	-183	305	-94	-183	115.8	41.55	-74.16667
USC00308906	WALDEN	19960106	305	-61	-278	305	-61	-278	115.8	41.55	-74.16667
USC00308906	WALDEN	19960107	305	-106	-267	305	-106	-267	115.8	41.55	-74.16667
USC00308906	WALDEN	19960108	559	-100	-156	559	-100	-156	115.8	41.55	-74.16667
USC00308906	WALDEN	19960109	711	-83	-244	711	-83	-244	115.8	41.55	-74.16667
USC00308906	WALDEN	19960110	660	-50	-144	660	-50	-144	115.8	41.55	-74.16667
USC00308906	WALDEN	19960111	635	-17	-244	635	-17	-244	115.8	41.55	-74.16667
USC00308906	WALDEN	19960112	559	-56	-239	559	-56	-239	115.8	41.55	-74.16667
USC00308906	WALDEN	19960113	686	-11	-100	686	-11	-100	115.8	41.55	-74.16667
USC00308906	WALDEN	19960114	635	11	-67	635	11	-67	115.8	41.55	-74.16667
USC00308906	WALDEN	19960115	584	50	-22	584	50	-22	115.8	41.55	-74.16667
USC00308906	WALDEN	19960116	533	22	-211	533	22	-211	115.8	41.55	-74.16667
USC00308906	WALDEN	19960117	508	-39	-211	508	-39	-211	115.8	41.55	-74.16667
USC00308906	WALDEN	19960118	457	78	-56	457	78	-56	115.8	41.55	-74.16667
USC00308906	WALDEN	19960119	381	128	-56	381	128	-56	115.8	41.55	-74.16667
USC00308906	WALDEN	19960120	102	139	-78	102	139	-78	115.8	41.55	-74.16667
USC00308906	WALDEN	19960121	102	-6	-117	102	-6	-117	115.8	41.55	-74.16667
USC00308906	WALDEN	19960122	102	-39	-106	102	-39	-106	115.8	41.55	-74.16667
USC00308906	WALDEN	19960123	102	33	-100	102	33	-100	115.8	41.55	-74.16667
USC00308906	WALDEN	19960124	102	28	-22	102	28	-22	115.8	41.55	-74.16667
USC00308906	WALDEN	19960125	51	111	-50	51	111	-50	115.8	41.55	-74.16667
USC00308906	WALDEN	19960126	25	-22	-128	25	-22	-128	115.8	41.55	-74.16667
USC00308906	WALDEN	19960127	25	83	-122	25	83	-122	115.8	41.55	-74.16667
USC00308906	WALDEN	19960128	0	117	-44	0	117	-44	115.8	41.55	-74.16667
USC00308906	WALDEN	19960129	0	-6	-100	0	-6	-100	115.8	41.55	-74.16667
USC00308906	WALDEN	19960130	0	-11	-89	0	-11	-89	115.8	41.55	-74.16667
USC00308906	WALDEN	19960131	25	33	-78	25	33	-78	115.8	41.55	-74.16667
USC00308906	WALDEN	19970101	25	-61	-183	25	-61	-183	115.8	41.55	-74.16667
USC00308906	WALDEN	19970102	25	-61	-167	25	-61	-167	115.8	41.55	-74.16667
USC00308906	WALDEN	19970103	0	33	-61	0	33	-61	115.8	41.55	-74.16667
USC00308906	WALDEN	19970104	0	128	-6	0	128	-6	115.8	41.55	-74.16667
USC00308906	WALDEN	19970105	0	50	17	0	50	17	115.8	41.55	-74.16667
USC00308906	WALDEN	19970106	0	94	33	0	94	33	115.8	41.55	-74.16667
USC00308906	WALDEN	19970107	0	39	-28	0	39	-28	115.8	41.55139	-74.16278
USC00308906	WALDEN	19970108	0	0	-50	0	0	-50	115.8	41.55139	-74.16278
USC00308906	WALDEN	19970109	0	6	-89	0	6	-89	115.8	41.55139	-74.16278
USC00308906	WALDEN	19970110	25	-11	-72	25	-11	-72	115.8	41.55139	-74.16278
USC00308906	WALDEN	19970111	0	17	-50	0	17	-50	115.8	41.55139	-74.16278
USC00308906	WALDEN	19970112	0	-28	-111	0	-28	-111	115.8	41.55139	-74.16278
USC00308906	WALDEN	19970113	0	-39	-89	0	-39	-89	115.8	41.55139	-74.16278
USC00308906	WALDEN	19970114	0	-11	-83	0	-11	-83	115.8	41.55139	-74.16278
USC00308906	WALDEN	19970115	0	6	-106	0	6	-106	115.8	41.55139	-74.16278
USC00308906	WALDEN	19970116	0	17	-100	0	17	-100	115.8	41.55139	-74.16278
USC00308906	WALDEN	19970117	0	44	-128	0	44	-128	115.8	41.55139	-74.16278
USC00308906	WALDEN	19970118	0	-100	-167	0	-100	-167	115.8	41.55139	-74.16278
USC00308906	WALDEN	19970119	0	-94	-194	0	-94	-194	115.8	41.55139	-74.16278
USC00308906	WALDEN	19970120	0	-78	-156	0	-78	-156	115.8	41.55139	-74.16278
USC00308906	WALDEN	19970121	0	-17	-100	0	-17	-100	115.8	41.55139	-74.16278
USC00308906	WALDEN	19970122	0	17	-83	0	17	-83	115.8	41.55139	-74.16278
USC00308906	WALDEN	19970123	0	72	-67	0	72	-67	115.8	41.55139	-74.16278
USC00308906	WALDEN	19970124	0	83	-117	0	83	-117	115.8	41.55139	-74.16278
USC00308906	WALDEN	19970125	0	0	0	0	0	0	115.8	41.55139	-74.16278
USC00308906	WALDEN	19970126	0	61	-117	0	61	-117	115.8	41.55139	-74.16278
USC00308906	WALDEN	19970127	0	6	-111	0	6	-111	115.8	41.55139	-74.16278
USC00308906	WALDEN	19970128	76	17	-106	76	17	-106	115.8	41.55139	-74.16278
USC00308906	WALDEN	19970129	25	33	-89	25	33	-89	115.8	41.55139	-74.16278
USC00308906	WALDEN	19970130	25	-39	-122	25	-39	-122	115.8	41.55139	-74.16278
USC00308906	WALDEN	19970131	25	-39	-122	25	-39	-122	115.8	41.55139	-74.16278
USC00308906	WALDEN	19980101	51	-56	-144	51	-56	-144	115.8	41.55139	-74.16278
USC00308906	WALDEN	19980102	51	-28	-133	51	-28	-133	115.8	41.55139	-74.16278
USC00308906	WALDEN	19980103	51	61	-28	51	61	-28	115.8	41.55139	-74.16278
USC00308906	WALDEN	19980104	25	128	11	25	128	11	115.8	41.55139	-74.16278
USC00308906	WALDEN	19980105	0	100	0	0	100	0	115.8	41.55139	-74.16278
USC00308906	WALDEN	19980106	0	67	6	0	67	6	115.8	41.55139	-74.16278
USC00308906	WALDEN	19980107	0	133	56	0	133	56	115.8	41.55139	-74.16278
USC00308906	WALDEN	19980108	0	100	44	0	100	44	115.8	41.55139	-74.16278
USC00308906	WALDEN	19980109	0	206	50	0	206	50	115.8	41.55139	-74.16278
USC00308906	WALDEN	19980110	0	122	-6	0	122	-6	115.8	41.55139	-74.16278
USC00308906	WALDEN	19980111	0	72	-17	0	72	-17	115.8	41.55139	-74.16278
USC00308906	WALDEN	19980112	0	78	-78	0	78	-78	115.8	41.55139	-74.16278
USC00308906	WALDEN	19980113	0	33	-83	0	33	-83	115.8	41.55139	-74.16278
USC00308906	WALDEN	19980114	0	61	-78	0	61	-78	115.8	41.55139	-74.16278
USC00308906	WALDEN	19980115	0	-6	-89	0	-6	-89	115.8	41.55139	-74.16278
USC00308906	WALDEN	19980116	0	-6	-78	0	-6	-78	115.8	41.55139	-74.16278
USC00308906	WALDEN	19980117	0	-11	-44	0	-11	-44	115.8	41.55139	-74.16278
USC00308906	WALDEN	19980118	0	-28	-44	0	-28	-44	115.8	41.55139	-74.16278
USC00308906	WALDEN	19980119	25	0	-39	25	0	-39	115.8	41.55139	-74.16278
USC00308906	WALDEN	19980120	25	11	-50	25	11	-50	115.8	41.55139	-74.16278
USC00308906	WALDEN	19980121	0	17	-106	0	17	-106	115.8	41.55139	-74.16278
USC00308906	WALDEN	19980122	0	17	-89	0	17	-89	115.8	41.55139	-74.16278
USC00308906	WALDEN	19980123	25	-28	-72	25	-28	-72	115.8	41.55139	-74.16278
USC00308906	WALDEN	19980124	76	6	-50	76	6	-50	115.8	41.55139	-74.16278
USC00308906	WALDEN	19980125	76	28	-11	76	28	-11	115.8	41.55139	-74.16278
USC00308906	WALDEN	19980126	25	28	-44	25	28	-44	115.8	41.55139	-74.16278
USC00308906	WALDEN	19980127	0	39	-94	0	39	-94	115.8	41.55139	-74.16278
USC00308906	WALDEN	19980128	0	-11	-89	0	-11	-89	115.8	41.55139	-74.16278
USC00308906	WALDEN	19980129	0	6	-56	0	6	-56	115.8	41.55139	-74.16278
USC00308906	WALDEN	19980130	0	83	-56	0	83	-56	115.8	41.55139	-74.16278
USC00308906	WALDEN	19980131	0	56	-17	0	56	-17	115.8	41.55139	-74.16278
USC00308906	WALDEN	19990101	25	-61	-139	25	-61	-139	115.8	41.55139	-74.16278
USC00308906	WALDEN	19990102	25	-50	-178	25	-50	-178	115.8	41.55139	-74.16278
USC00308906	WALDEN	19990103	25	-50	-150	25	-50	-150	115.8	41.55139	-74.16278
USC00308906	WALDEN	19990104	25	44	-78	25	44	-78	115.8	41.55139	-74.16278
USC00308906	WALDEN	19990105	25	-33	-117	25	-33	-117	115.8	41.55139	-74.16278
USC00308906	WALDEN	19990106	25	-39	-150	25	-39	-150	115.8	41.55139	-74.16278
USC00308906	WALDEN	19990107	25	-22	-128	25	-22	-128	115.8	41.55139	-74.16278
USC00308906	WALDEN	19990108	25	-33	-133	25	-33	-133	115.8	41.55139	-74.16278
USC00308906	WALDEN	19990109	76	-6	-122	76	-6	-122	115.8	41.55139	-74.16278
USC00308906	WALDEN	19990110	51	33	-122	51	33	-122	115.8	41.55139	-74.16278
USC00308906	WALDEN	19990111	51	-33	-94	51	-33	-94	115.8	41.55139	-74.16278
USC00308906	WALDEN	19990112	51	-33	-106	51	-33	-106	115.8	41.55139	-74.16278
USC00308906	WALDEN	19990113	25	50	-72	25	50	-72	115.8	41.55139	-74.16278
USC00308906	WALDEN	19990114	76	44	-194	76	44	-194	115.8	41.55139	-74.16278
USC00308906	WALDEN	19990115	127	-39	-194	127	-39	-194	115.8	41.55139	-74.16278
USC00308906	WALDEN	19990116	127	11	-94	127	11	-94	115.8	41.55139	-74.16278
USC00308906	WALDEN	19990117	127	28	-94	127	28	-94	115.8	41.55139	-74.16278
USC00308906	WALDEN	19990118	102	83	-44	102	83	-44	115.8	41.55139	-74.16278
USC00308906	WALDEN	19990119	76	117	0	76	117	0	115.8	41.55139	-74.16278
USC00308906	WALDEN	19990120	51	117	-44	51	117	-44	115.8	41.55139	-74.16278
USC00308906	WALDEN	19990121	51	61	-83	51	61	-83	115.8	41.55139	-74.16278
USC00308906	WALDEN	19990122	25	17	-83	25	17	-83	115.8	41.55139	-74.16278
USC00308906	WALDEN	19990123	25	39	11	25	39	11	115.8	41.55139	-74.16278
USC00308906	WALDEN	19990124	0	178	33	0	178	33	115.8	41.55139	-74.16278
USC00308906	WALDEN	19990125	0	144	11	0	144	11	115.8	41.55139	-74.16278
USC00308906	WALDEN	19990126	0	33	-72	0	33	-72	115.8	41.55139	-74.16278
USC00308906	WALDEN	19990127	0	33	-72	0	33	-72	115.8	41.55139	-74.16278
USC00308906	WALDEN	19990128	0	33	-72	0	33	-72	115.8	41.55139	-74.16278
USC00308906	WALDEN	19990129	0	17	-44	0	17	-44	115.8	41.55139	-74.16278
USC00308906	WALDEN	19990130	0	-17	-117	0	-17	-117	115.8	41.55139	-74.16278
USC00308906	WALDEN	19990131	0	6	-133	0	6	-133	115.8	41.55139	-74.16278
USC00308906	WALDEN	20000101	0	17	-83	0	17	-83	115.8	41.55139	-74.16278
USC00308906	WALDEN	20000102	0	83	-56	0	83	-56	115.8	41.55139	-74.16278
USC00308906	WALDEN	20000103	0	122	17	0	122	17	115.8	41.55139	-74.16278
USC00308906	WALDEN	20000104	0	150	56	0	150	56	115.8	41.55139	-74.16278
USC00308906	WALDEN	20000105	0	178	-17	0	178	-17	115.8	41.55139	-74.16278
USC00308906	WALDEN	20000106	0	6	-106	0	6	-106	115.8	41.55139	-74.16278
USC00308906	WALDEN	20000107	0	39	-106	0	39	-106	115.8	41.55139	-74.16278
USC00308906	WALDEN	20000108	0	72	-50	0	72	-50	115.8	41.55139	-74.16278
USC00308906	WALDEN	20000109	0	28	-39	0	28	-39	115.8	41.55139	-74.16278
USC00308906	WALDEN	20000110	0	100	17	0	100	17	115.8	41.55139	-74.16278
USC00308906	WALDEN	20000111	0	72	11	0	72	11	115.8	41.55139	-74.16278
USC00308906	WALDEN	20000112	0	89	17	0	89	17	115.8	41.55139	-74.16278
USC00308906	WALDEN	20000113	0	56	-28	0	56	-28	115.8	41.55139	-74.16278
USC00308906	WALDEN	20000114	51	-28	-172	51	-28	-172	115.8	41.55139	-74.16278
USC00308906	WALDEN	20000115	51	-83	-156	51	-83	-156	115.8	41.55139	-74.16278
USC00308906	WALDEN	20000116	51	-6	-139	51	-6	-139	115.8	41.55139	-74.16278
USC00308906	WALDEN	20000117	51	78	-172	51	78	-172	115.8	41.55139	-74.16278
USC00308906	WALDEN	20000118	51	-106	-206	51	-106	-206	115.8	41.55139	-74.16278
USC00308906	WALDEN	20000119	51	-111	-200	51	-111	-200	115.8	41.55139	-74.16278
USC00308906	WALDEN	20000120	51	-33	-161	51	-33	-161	115.8	41.55139	-74.16278
USC00308906	WALDEN	20000121	76	-61	-122	76	-61	-122	115.8	41.55139	-74.16278
USC00308906	WALDEN	20000122	51	-100	-183	51	-100	-183	115.8	41.55139	-74.16278
USC00308906	WALDEN	20000123	51	-89	-183	51	-89	-183	115.8	41.55139	-74.16278
USC00308906	WALDEN	20000124	51	-50	-128	51	-50	-128	115.8	41.55139	-74.16278
USC00308906	WALDEN	20000125	102	22	-72	102	22	-72	115.8	41.55139	-74.16278
USC00308906	WALDEN	20000126	178	-33	-89	178	-33	-89	115.8	41.55139	-74.16278
USC00308906	WALDEN	20000127	152	-22	-133	152	-22	-133	115.8	41.55139	-74.16278
USC00308906	WALDEN	20000128	152	-89	-156	152	-89	-156	115.8	41.55139	-74.16278
USC00308906	WALDEN	20000129	152	-56	-222	152	-56	-222	115.8	41.55139	-74.16278
USC00308906	WALDEN	20000130	152	-17	-222	152	-17	-222	115.8	41.55139	-74.16278
USC00308906	WALDEN	20000131	254	-17	-144	254	-17	-144	115.8	41.55139	-74.16278
USC00308906	WALDEN	20010101	533	-44	-78	533	-44	-78	115.8	41.55139	-74.16278
USC00308906	WALDEN	20010102	508	-6	-239	508	-6	-239	115.8	41.55139	-74.16278
USC00308906	WALDEN	20010103	508	-44	-233	508	-44	-233	115.8	41.55139	-74.16278
USC00308906	WALDEN	20010104	483	106	-100	483	106	-100	115.8	41.55139	-74.16278
USC00308906	WALDEN	20010105	457	0	-133	457	0	-133	115.8	41.55139	-74.16278
USC00308906	WALDEN	20010106	508	-28	-111	508	-28	-111	115.8	41.55139	-74.16278
USC00308906	WALDEN	20010107	406	28	-67	406	28	-67	115.8	41.55139	-74.16278
USC00308906	WALDEN	20010108	254	28	-94	254	28	-94	115.8	41.55139	-74.16278
USC00308906	WALDEN	20010109	279	28	-50	279	28	-50	115.8	41.55139	-74.16278
USC00308906	WALDEN	20010110	254	-6	-128	254	-6	-128	115.8	41.55139	-74.16278
USC00308906	WALDEN	20010111	254	-6	-133	254	-6	-133	115.8	41.55139	-74.16278
USC00308906	WALDEN	20010112	229	50	-83	229	50	-83	115.8	41.55139	-74.16278
USC00308906	WALDEN	20010113	229	33	-150	229	33	-150	115.8	41.55139	-74.16278
USC00308906	WALDEN	20010114	229	33	-128	229	33	-128	115.8	41.55139	-74.16278
USC00308906	WALDEN	20010115	203	28	-94	203	28	-94	115.8	41.55139	-74.16278
USC00308906	WALDEN	20010116	203	22	-6	203	22	-6	115.8	41.55139	-74.16278
USC00308906	WALDEN	20010117	178	56	17	178	56	17	115.8	41.55139	-74.16278
USC00308906	WALDEN	20010118	178	39	-83	178	39	-83	115.8	41.55139	-74.16278
USC00308906	WALDEN	20010119	203	6	-167	203	6	-167	115.8	41.55139	-74.16278
USC00308906	WALDEN	20010120	203	11	-17	203	11	-17	115.8	41.55139	-74.16278
USC00308906	WALDEN	20010121	356	-17	-78	356	-17	-78	115.8	41.55139	-74.16278
USC00308906	WALDEN	20010122	330	-17	-144	330	-17	-144	115.8	41.55139	-74.16278
USC00308906	WALDEN	20010123	305	6	-194	305	6	-194	115.8	41.55139	-74.16278
USC00308906	WALDEN	20010124	279	11	-194	279	11	-194	115.8	41.55139	-74.16278
USC00308906	WALDEN	20010125	229	44	-161	229	44	-161	115.8	41.55139	-74.16278
USC00308906	WALDEN	20010126	203	28	-183	203	28	-183	115.8	41.55139	-74.16278
USC00308906	WALDEN	20010127	203	0	-178	203	0	-178	115.8	41.55139	-74.16278
USC00308906	WALDEN	20010128	203	28	-61	203	28	-61	115.8	41.55139	-74.16278
USC00308906	WALDEN	20010129	203	11	-128	203	11	-128	115.8	41.55139	-74.16278
USC00308906	WALDEN	20010130	203	6	-106	203	6	-106	115.8	41.55139	-74.16278
USC00308906	WALDEN	20010131	178	33	-11	178	33	-11	115.8	41.55139	-74.16278
USC00308906	WALDEN	20020101	0	-17	-106	0	-17	-106	115.8	41.55139	-74.16278
USC00308906	WALDEN	20020102	0	0	-89	0	0	-89	115.8	41.55139	-74.16278
USC00308906	WALDEN	20020103	0	17	-117	0	17	-117	115.8	41.55139	-74.16278
USC00308906	WALDEN	20020104	0	17	-128	0	17	-128	115.8	41.55139	-74.16278
USC00308906	WALDEN	20020105	0	11	-128	0	11	-128	115.8	41.55139	-74.16278
USC00308906	WALDEN	20020106	0	39	-72	0	39	-72	115.8	41.55139	-74.16278
USC00308906	WALDEN	20020107	76	39	-28	76	39	-28	115.8	41.55139	-74.16278
USC00308906	WALDEN	20020108	76	6	-139	76	6	-139	115.8	41.55139	-74.16278
USC00308906	WALDEN	20020109	76	-11	-72	76	-11	-72	115.8	41.55139	-74.16278
USC00308906	WALDEN	20020110	51	22	-28	51	22	-28	115.8	41.55139	-74.16278
USC00308906	WALDEN	20020111	51	94	-6	51	94	-6	115.8	41.55139	-74.16278
USC00308906	WALDEN	20020112	25	61	6	25	61	6	115.8	41.55139	-74.16278
USC00308906	WALDEN	20020113	25	61	-28	25	61	-28	115.8	41.55139	-74.16278
USC00308906	WALDEN	20020114	0	44	-22	0	44	-22	115.8	41.55139	-74.16278
USC00308906	WALDEN	20020115	0	28	-44	0	28	-44	115.8	41.55139	-74.16278
USC00308906	WALDEN	20020116	0	67	-39	0	67	-39	115.8	41.55139	-74.16278
USC00308906	WALDEN	20020117	25	28	-33	25	28	-33	115.8	41.55139	-74.16278
USC00308906	WALDEN	20020118	0	61	-56	0	61	-56	115.8	41.55139	-74.16278
USC00308906	WALDEN	20020119	0	17	-83	0	17	-83	115.8	41.55139	-74.16278
USC00308906	WALDEN	20020120	127	-44	-167	127	-44	-167	115.8	41.55139	-74.16278
USC00308906	WALDEN	20020121	102	11	-128	102	11	-128	115.8	41.55139	-74.16278
USC00308906	WALDEN	20020122	102	28	-89	102	28	-89	115.8	41.55139	-74.16278
USC00308906	WALDEN	20020123	76	67	-72	76	67	-72	115.8	41.55139	-74.16278
USC00308906	WALDEN	20020124	25	89	-33	25	89	-33	115.8	41.55139	-74.16278
USC00308906	WALDEN	20020125	0	78	0	0	78	0	115.8	41.55139	-74.16278
USC00308906	WALDEN	20020126	0	56	-11	0	56	-11	115.8	41.55139	-74.16278
USC00308906	WALDEN	20020127	0	122	-11	0	122	-11	115.8	41.55139	-74.16278
USC00308906	WALDEN	20020128	0	139	11	0	139	11	115.8	41.55139	-74.16278
USC00308906	WALDEN	20020129	0	139	-17	0	139	-17	115.8	41.55139	-74.16278
USC00308906	WALDEN	20020130	0	167	-11	0	167	-11	115.8	41.55139	-74.16278
USC00308906	WALDEN	20020131	0	67	-22	0	67	-22	115.8	41.55139	-74.16278
USC00308906	WALDEN	20030101	152	44	0	152	44	0	115.8	41.55139	-74.16278
USC00308906	WALDEN	20030102	127	50	-50	127	50	-50	115.8	41.55139	-74.16278
USC00308906	WALDEN	20030103	152	-44	-72	152	-44	-72	115.8	41.55139	-74.16278
USC00308906	WALDEN	20030104	432	-17	-61	432	-17	-61	115.8	41.55139	-74.16278
USC00308906	WALDEN	20030105	432	-11	-44	432	-11	-44	115.8	41.55139	-74.16278
USC00308906	WALDEN	20030106	457	-22	-44	457	-22	-44	115.8	41.55139	-74.16278
