STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USW00013781	WILMINGTONNEWCASTLE	19950101	9999	100	22	NA	100	22	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19950102	9999	56	-50	NA	56	-50	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19950103	9999	-6	-61	NA	-6	-61	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19950104	9999	17	-83	NA	17	-83	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19950105	9999	-39	-106	NA	-39	-106	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19950106	9999	44	-94	NA	44	-94	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19950107	9999	78	-11	NA	78	-11	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19950108	9999	33	-33	NA	33	-33	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19950109	9999	56	-33	NA	56	-33	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19950110	9999	-6	-50	NA	-6	-50	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19950111	9999	28	-11	NA	28	-11	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19950112	9999	128	28	NA	128	28	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19950113	9999	183	28	NA	183	28	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19950114	9999	189	89	NA	189	89	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19950115	9999	178	106	NA	178	106	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19950116	9999	144	72	NA	144	72	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19950117	9999	122	44	NA	122	44	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19950118	9999	72	50	NA	72	50	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19950119	9999	67	44	NA	67	44	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19950120	9999	122	44	NA	122	44	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19950121	9999	56	6	NA	56	6	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19950122	9999	33	-22	NA	33	-22	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19950123	9999	39	-39	NA	39	-39	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19950124	9999	44	-28	NA	44	-28	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19950125	9999	61	-22	NA	61	-22	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19950126	9999	33	-33	NA	33	-33	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19950127	9999	33	-39	NA	33	-39	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19950128	9999	-6	-39	NA	-6	-39	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19950129	9999	11	-72	NA	11	-72	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19950130	9999	50	-61	NA	50	-61	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19950131	9999	72	-56	NA	72	-56	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19960101	9999	56	11	NA	56	11	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19960102	9999	33	0	NA	33	0	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19960103	9999	28	-56	NA	28	-56	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19960104	9999	-39	-89	NA	-39	-89	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19960105	9999	-17	-72	NA	-17	-72	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19960106	9999	-61	-117	NA	-61	-117	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19960107	9999	-50	-106	NA	-50	-106	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19960108	9999	-33	-89	NA	-33	-89	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19960109	9999	-11	-111	NA	-11	-111	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19960110	9999	0	-83	NA	0	-83	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19960111	9999	-56	-122	NA	-56	-122	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19960112	9999	22	-67	NA	22	-67	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19960113	9999	17	-33	NA	17	-33	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19960114	9999	44	-44	NA	44	-44	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19960115	9999	78	-56	NA	78	-56	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19960116	9999	0	-72	NA	0	-72	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19960117	9999	56	-11	NA	56	-11	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19960118	9999	111	-11	NA	111	-11	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19960119	9999	133	-61	NA	133	-61	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19960120	9999	-17	-78	NA	-17	-78	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19960121	9999	17	-83	NA	17	-83	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19960122	9999	0	-39	NA	0	-39	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19960123	9999	44	0	NA	44	0	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19960124	9999	139	28	NA	139	28	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19960125	9999	33	-56	NA	33	-56	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19960126	9999	94	-61	NA	94	-61	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19960127	9999	144	0	NA	144	0	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19960128	9999	22	-39	NA	22	-39	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19960129	9999	28	-50	NA	28	-50	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19960130	9999	72	-11	NA	72	-11	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19960131	9999	39	-72	NA	39	-72	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19970101	9999	6	-78	NA	6	-78	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19970102	9999	78	6	NA	78	6	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19970103	9999	167	56	NA	167	56	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19970104	9999	133	67	NA	133	67	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19970105	9999	183	72	NA	183	72	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19970106	9999	122	6	NA	122	6	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19970107	9999	33	-33	NA	33	-33	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19970108	9999	33	-39	NA	33	-39	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19970109	9999	11	-33	NA	11	-33	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19970110	9999	50	-6	NA	50	-6	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19970111	9999	6	-72	NA	6	-72	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19970112	9999	-33	-94	NA	-33	-94	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19970113	9999	-33	-89	NA	-33	-89	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19970114	9999	-22	-89	NA	-22	-89	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19970115	9999	22	-89	NA	22	-89	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19970116	9999	72	-56	NA	72	-56	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19970117	9999	-56	-122	NA	-56	-122	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19970118	9999	-78	-133	NA	-78	-133	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19970119	9999	-67	-144	NA	-67	-144	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19970120	9999	11	-100	NA	11	-100	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19970121	9999	44	-50	NA	44	-50	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19970122	9999	94	-33	NA	94	-33	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19970123	9999	128	-6	NA	128	-6	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19970124	9999	83	-28	NA	83	-28	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19970125	9999	94	0	NA	94	0	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19970126	9999	6	-44	NA	6	-44	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19970127	9999	33	-44	NA	33	-44	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19970128	9999	78	-28	NA	78	-28	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19970129	9999	-11	-56	NA	-11	-56	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19970130	9999	22	-61	NA	22	-61	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19970131	9999	39	-22	NA	39	-22	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19980101	9999	11	-89	NA	11	-89	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19980102	9999	122	0	NA	122	0	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19980103	9999	133	0	NA	133	0	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19980104	9999	172	61	NA	172	61	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19980105	9999	144	33	NA	144	33	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19980106	9999	167	50	NA	167	50	22.6	39.67278	-75.60083
USW00013781	WILMINGTONNEWCASTLE	19980107	9999	144	117	NA	144	117	22.6	39.67278	-75.60083
