STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00079605	WILMNGTONPORTER	19950101	9999	117	28	NA	117	28	82.3	39.77389	-75.54139
USC00079605	WILMNGTONPORTER	19950102	9999	61	-50	NA	61	-50	82.3	39.77389	-75.54139
USC00079605	WILMNGTONPORTER	19950103	9999	-6	-56	NA	-6	-56	82.3	39.77389	-75.54139
USC00079605	WILMNGTONPORTER	19950104	9999	6	-83	NA	6	-83	82.3	39.77389	-75.54139
USC00079605	WILMNGTONPORTER	19950105	9999	-44	-100	NA	-44	-100	82.3	39.77389	-75.54139
USC00079605	WILMNGTONPORTER	19950106	9999	39	-83	NA	39	-83	82.3	39.77389	-75.54139
USC00079605	WILMNGTONPORTER	19950107	9999	72	0	NA	72	0	82.3	39.77389	-75.54139
USC00079605	WILMNGTONPORTER	19950108	9999	28	-22	NA	28	-22	82.3	39.77389	-75.54139
USC00079605	WILMNGTONPORTER	19950109	9999	50	-17	NA	50	-17	82.3	39.77389	-75.54139
USC00079605	WILMNGTONPORTER	19950110	9999	0	-50	NA	0	-50	82.3	39.77389	-75.54139
USC00079605	WILMNGTONPORTER	19950111	9999	33	-17	NA	33	-17	82.3	39.77389	-75.54139
USC00079605	WILMNGTONPORTER	19950112	9999	122	33	NA	122	33	82.3	39.77389	-75.54139
USC00079605	WILMNGTONPORTER	19950113	9999	183	78	NA	183	78	82.3	39.77389	-75.54139
USC00079605	WILMNGTONPORTER	19950114	9999	200	111	NA	200	111	82.3	39.77389	-75.54139
USC00079605	WILMNGTONPORTER	19950115	9999	183	144	NA	183	144	82.3	39.77389	-75.54139
USC00079605	WILMNGTONPORTER	19950116	9999	144	72	NA	144	72	82.3	39.77389	-75.54139
USC00079605	WILMNGTONPORTER	19950117	9999	117	61	NA	117	61	82.3	39.77389	-75.54139
USC00079605	WILMNGTONPORTER	19950118	9999	72	50	NA	72	50	82.3	39.77389	-75.54139
USC00079605	WILMNGTONPORTER	19950119	9999	67	39	NA	67	39	82.3	39.77389	-75.54139
USC00079605	WILMNGTONPORTER	19950120	9999	111	44	NA	111	44	82.3	39.77389	-75.54139
USC00079605	WILMNGTONPORTER	19950121	9999	50	11	NA	50	11	82.3	39.77389	-75.54139
USC00079605	WILMNGTONPORTER	19950122	9999	28	-17	NA	28	-17	82.3	39.77389	-75.54139
USC00079605	WILMNGTONPORTER	19950123	9999	28	-39	NA	28	-39	82.3	39.77389	-75.54139
USC00079605	WILMNGTONPORTER	19950124	9999	33	-22	NA	33	-22	82.3	39.77389	-75.54139
USC00079605	WILMNGTONPORTER	19950125	9999	56	-11	NA	56	-11	82.3	39.77389	-75.54139
USC00079605	WILMNGTONPORTER	19950126	9999	28	-33	NA	28	-33	82.3	39.77389	-75.54139
USC00079605	WILMNGTONPORTER	19950127	9999	28	-28	NA	28	-28	82.3	39.77389	-75.54139
USC00079605	WILMNGTONPORTER	19950128	9999	-6	-33	NA	-6	-33	82.3	39.77389	-75.54139
USC00079605	WILMNGTONPORTER	19950129	9999	11	-72	NA	11	-72	82.3	39.77389	-75.54139
USC00079605	WILMNGTONPORTER	19950130	9999	44	-50	NA	44	-50	82.3	39.77389	-75.54139
USC00079605	WILMNGTONPORTER	19950131	9999	72	-56	NA	72	-56	82.3	39.77389	-75.54139
USC00079605	WILMNGTONPORTER	19960101	9999	56	17	NA	56	17	82.3	39.77389	-75.54139
USC00079605	WILMNGTONPORTER	19960102	9999	33	0	NA	33	0	82.3	39.77389	-75.54139
USC00079605	WILMNGTONPORTER	19960103	9999	6	-67	NA	6	-67	82.3	39.77389	-75.54139
USC00079605	WILMNGTONPORTER	19960104	9999	-44	-100	NA	-44	-100	82.3	39.77389	-75.54139
USC00079605	WILMNGTONPORTER	19960105	9999	-28	-78	NA	-28	-78	82.3	39.77389	-75.54139
USC00079605	WILMNGTONPORTER	19960106	9999	-67	-128	NA	-67	-128	82.3	39.77389	-75.54139
USC00079605	WILMNGTONPORTER	19960107	9999	-50	-111	NA	-50	-111	82.3	39.77389	-75.54139
