STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00369933	YORKPUMPSTATION	19950101	0	122	-6	0	122	-6	118.9	39.9167	-76.7500
USC00369933	YORKPUMPSTATION	19950102	0	83	-33	0	83	-33	118.9	39.9167	-76.7500
USC00369933	YORKPUMPSTATION	19950103	0	-11	-94	0	-11	-94	118.9	39.9167	-76.7500
USC00369933	YORKPUMPSTATION	19950104	0	-17	-50	0	-17	-50	118.9	39.9167	-76.7500
USC00369933	YORKPUMPSTATION	19950105	0	-50	-122	0	-50	-122	118.9	39.9167	-76.7500
USC00369933	YORKPUMPSTATION	19950106	0	22	-128	0	22	-128	118.9	39.9167	-76.7500
USC00369933	YORKPUMPSTATION	19950107	0	44	-17	0	44	-17	118.9	39.9167	-76.7500
USC00369933	YORKPUMPSTATION	19950108	0	33	-22	0	33	-22	118.9	39.9167	-76.7500
USC00369933	YORKPUMPSTATION	19950109	0	61	-56	0	61	-56	118.9	39.9167	-76.7500
USC00369933	YORKPUMPSTATION	19950110	0	17	-67	0	17	-67	118.9	39.9167	-76.7500
USC00369933	YORKPUMPSTATION	19950111	0	11	-28	0	11	-28	118.9	39.9167	-76.7500
USC00369933	YORKPUMPSTATION	19950112	0	94	6	0	94	6	118.9	39.9167	-76.7500
USC00369933	YORKPUMPSTATION	19950113	0	117	-6	0	117	-6	118.9	39.9167	-76.7500
USC00369933	YORKPUMPSTATION	19950114	0	194	17	0	194	17	118.9	39.9167	-76.7500
USC00369933	YORKPUMPSTATION	19950115	0	178	144	0	178	144	118.9	39.9167	-76.7500
USC00369933	YORKPUMPSTATION	19950116	0	167	78	0	167	78	118.9	39.9167	-76.7500
USC00369933	YORKPUMPSTATION	19950117	0	83	39	0	83	39	118.9	39.9167	-76.7500
USC00369933	YORKPUMPSTATION	19950118	0	78	6	0	78	6	118.9	39.9167	-76.7500
USC00369933	YORKPUMPSTATION	19950119	0	72	44	0	72	44	118.9	39.9167	-76.7500
USC00369933	YORKPUMPSTATION	19950120	0	94	50	0	94	50	118.9	39.9167	-76.7500
USC00369933	YORKPUMPSTATION	19950121	0	56	6	0	56	6	118.9	39.9167	-76.7500
USC00369933	YORKPUMPSTATION	19950122	0	17	-28	0	17	-28	118.9	39.9167	-76.7500
USC00369933	YORKPUMPSTATION	19950123	0	28	-56	0	28	-56	118.9	39.9167	-76.7500
USC00369933	YORKPUMPSTATION	19950124	0	22	-56	0	22	-56	118.9	39.9167	-76.7500
USC00369933	YORKPUMPSTATION	19950125	0	44	-17	0	44	-17	118.9	39.9167	-76.7500
USC00369933	YORKPUMPSTATION	19950126	0	28	-72	0	28	-72	118.9	39.9167	-76.7500
USC00369933	YORKPUMPSTATION	19950127	0	39	-56	0	39	-56	118.9	39.9167	-76.7500
USC00369933	YORKPUMPSTATION	19950128	0	17	-39	0	17	-39	118.9	39.9167	-76.7500
USC00369933	YORKPUMPSTATION	19950129	0	22	-94	0	22	-94	118.9	39.9167	-76.7500
USC00369933	YORKPUMPSTATION	19950130	0	17	-83	0	17	-83	118.9	39.9167	-76.7500
USC00369933	YORKPUMPSTATION	19950131	0	67	-89	0	67	-89	118.9	39.9167	-76.7500
USC00369933	YORKPUMPSTATION	19960101	51	33	0	51	33	0	118.9	39.9167	-76.7500
USC00369933	YORKPUMPSTATION	19960102	51	11	0	51	11	0	118.9	39.9167	-76.7500
USC00369933	YORKPUMPSTATION	19960103	25	6	-33	25	6	-33	118.9	39.9167	-76.7500
USC00369933	YORKPUMPSTATION	19960104	25	-33	-100	25	-33	-100	118.9	39.9167	-76.7500
USC00369933	YORKPUMPSTATION	19960105	25	-33	-94	25	-33	-94	118.9	39.9167	-76.7500
