STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USW00014852	YOUNGSTOWN	19950101	9999	67	-11	NA	67	-11	359.7	41.25	-80.66667
USW00014852	YOUNGSTOWN	19950102	9999	-6	-83	NA	-6	-83	359.7	41.25	-80.66667
USW00014852	YOUNGSTOWN	19950103	9999	-33	-89	NA	-33	-89	359.7	41.25	-80.66667
USW00014852	YOUNGSTOWN	19950104	9999	-78	-133	NA	-78	-133	359.7	41.25	-80.66667
USW00014852	YOUNGSTOWN	19950105	9999	-72	-161	NA	-72	-161	359.7	41.25	-80.66667
USW00014852	YOUNGSTOWN	19950106	9999	11	-111	NA	11	-111	359.7	41.25	-80.66667
USW00014852	YOUNGSTOWN	19950107	9999	11	-50	NA	11	-50	359.7	41.25	-80.66667
USW00014852	YOUNGSTOWN	19950108	9999	-22	-83	NA	-22	-83	359.7	41.25	-80.66667
USW00014852	YOUNGSTOWN	19950109	9999	-28	-133	NA	-28	-133	359.7	41.25	-80.66667
USW00014852	YOUNGSTOWN	19950110	9999	-39	-133	NA	-39	-133	359.7	41.25	-80.66667
USW00014852	YOUNGSTOWN	19950111	9999	50	-39	NA	50	-39	359.7	41.25	-80.66667
USW00014852	YOUNGSTOWN	19950112	9999	144	44	NA	144	44	359.7	41.25	-80.66667
USW00014852	YOUNGSTOWN	19950113	9999	189	106	NA	189	106	359.7	41.25	-80.66667
USW00014852	YOUNGSTOWN	19950114	9999	194	106	NA	194	106	359.7	41.25	-80.66667
USW00014852	YOUNGSTOWN	19950115	9999	167	22	NA	167	22	359.7	41.25	-80.66667
USW00014852	YOUNGSTOWN	19950116	9999	22	-6	NA	22	-6	359.7	41.25	-80.66667
USW00014852	YOUNGSTOWN	19950117	9999	11	-11	NA	11	-11	359.7	41.25	-80.66667
USW00014852	YOUNGSTOWN	19950118	9999	78	11	NA	78	11	359.7	41.25	-80.66667
USW00014852	YOUNGSTOWN	19950119	9999	128	28	NA	128	28	359.7	41.25	-80.66667
USW00014852	YOUNGSTOWN	19950120	9999	72	11	NA	72	11	359.7	41.25	-80.66667
USW00014852	YOUNGSTOWN	19950121	9999	11	-44	NA	11	-44	359.7	41.25	-80.66667
USW00014852	YOUNGSTOWN	19950122	9999	-39	-67	NA	-39	-67	359.7	41.25	-80.66667
USW00014852	YOUNGSTOWN	19950123	9999	-39	-78	NA	-39	-78	359.7	41.25	-80.66667
USW00014852	YOUNGSTOWN	19950124	9999	-6	-50	NA	-6	-50	359.7	41.25	-80.66667
USW00014852	YOUNGSTOWN	19950125	9999	-33	-78	NA	-33	-78	359.7	41.25	-80.66667
USW00014852	YOUNGSTOWN	19950126	9999	-22	-83	NA	-22	-83	359.7	41.25	-80.66667
USW00014852	YOUNGSTOWN	19950127	9999	11	-122	NA	11	-122	359.7	41.25	-80.66667
USW00014852	YOUNGSTOWN	19950128	9999	-6	-94	NA	-6	-94	359.7	41.25	-80.66667
USW00014852	YOUNGSTOWN	19950129	9999	22	-122	NA	22	-122	359.7	41.25	-80.66667
USW00014852	YOUNGSTOWN	19950130	9999	22	-122	NA	22	-122	359.7	41.25	-80.66667
USW00014852	YOUNGSTOWN	19950131	9999	0	-78	NA	0	-78	359.7	41.25	-80.66667
USW00014852	YOUNGSTOWN	19960101	9999	28	-6	NA	28	-6	359.7	41.25	-80.66667
USW00014852	YOUNGSTOWN	19960102	9999	-6	-72	NA	-6	-72	359.7	41.25	-80.66667
USW00014852	YOUNGSTOWN	19960103	9999	-72	-144	NA	-72	-144	359.7	41.25	-80.66667
USW00014852	YOUNGSTOWN	19960104	9999	-83	-172	NA	-83	-172	359.7	41.25	-80.66667
USW00014852	YOUNGSTOWN	19960105	9999	-78	-139	NA	-78	-139	359.7	41.25	-80.66667
