ID,Latitude,Longitude,Date_and_time,CST_date_time
36051,32.75,-90.87,4/25/2003 18:00,4/25/2003 12:00
36051,32.75,-90.87,4/25/2003 19:00,4/25/2003 13:00
36051,32.75,-90.87,4/25/2003 20:00,4/25/2003 14:00
36051,32.75,-90.87,4/25/2003 21:00,4/25/2003 15:00
36051,32.75,-90.87,4/27/2003 18:00,4/27/2003 12:00
36051,32.75,-90.87,4/27/2003 19:00,4/27/2003 13:00
36051,32.75,-90.87,4/27/2003 21:00,4/27/2003 15:00
36051,32.75,-90.87,4/28/2003 15:00,4/28/2003 9:00
36051,32.75,-90.88,4/28/2003 16:00,4/28/2003 10:00
36051,32.75,-90.87,4/28/2003 17:00,4/28/2003 11:00
36051,32.75,-90.87,4/28/2003 18:00,4/28/2003 12:00
36051,32.75,-90.87,4/28/2003 19:00,4/28/2003 13:00
36051,32.75,-90.87,4/28/2003 20:00,4/28/2003 14:00
36051,32.75,-90.87,4/28/2003 21:00,4/28/2003 15:00
36051,32.75,-90.87,4/28/2003 22:00,4/28/2003 16:00
36051,32.75,-90.87,4/28/2003 23:00,4/28/2003 17:00
36051,32.75,-90.87,4/29/2003 0:00,4/28/2003 18:00
36051,32.75,-90.87,4/29/2003 1:00,4/28/2003 19:00
36051,32.75,-90.87,4/29/2003 15:00,4/29/2003 9:00
36051,32.75,-90.87,4/29/2003 16:00,4/29/2003 10:00
36051,32.75,-90.87,4/29/2003 17:00,4/29/2003 11:00
36051,32.75,-90.87,4/30/2003 15:00,4/30/2003 9:00
36051,32.75,-90.87,4/30/2003 16:00,4/30/2003 10:00
36051,32.75,-90.87,4/30/2003 17:00,4/30/2003 11:00
36051,32.75,-90.87,4/30/2003 18:00,4/30/2003 12:00
36051,32.75,-90.87,4/30/2003 19:00,4/30/2003 13:00
36051,32.75,-90.87,4/30/2003 20:00,4/30/2003 14:00
36051,32.75,-90.87,4/30/2003 21:00,4/30/2003 15:00
36051,32.75,-90.87,4/30/2003 22:00,4/30/2003 16:00
36051,32.75,-90.87,4/30/2003 23:00,4/30/2003 17:00
36051,32.75,-90.87,5/1/2003 16:00,5/1/2003 10:00
36051,32.75,-90.87,5/1/2003 17:00,5/1/2003 11:00
36051,32.75,-90.87,5/1/2003 18:00,5/1/2003 12:00
36051,32.75,-90.87,5/1/2003 19:00,5/1/2003 13:00
36051,32.75,-90.87,5/1/2003 20:00,5/1/2003 14:00
36051,32.75,-90.87,5/2/2003 15:00,5/2/2003 9:00
36051,32.75,-90.87,5/2/2003 16:00,5/2/2003 10:00
36051,32.75,-90.87,5/2/2003 17:00,5/2/2003 11:00
36051,32.75,-90.87,5/3/2003 0:00,5/2/2003 18:00
36051,32.75,-90.87,5/3/2003 1:00,5/2/2003 19:00
36051,32.75,-90.88,5/3/2003 2:00,5/2/2003 20:00
36051,32.75,-90.88,5/3/2003 15:00,5/3/2003 9:00
36051,32.76,-90.88,5/3/2003 16:00,5/3/2003 10:00
36051,32.76,-90.88,5/3/2003 17:00,5/3/2003 11:00
36051,32.76,-90.88,5/3/2003 18:00,5/3/2003 12:00
36051,32.76,-90.88,5/3/2003 19:00,5/3/2003 13:00
36051,32.76,-90.88,5/3/2003 20:00,5/3/2003 14:00
36051,32.76,-90.88,5/3/2003 21:00,5/3/2003 15:00
36051,32.76,-90.88,5/3/2003 22:00,5/3/2003 16:00
36051,32.75,-90.87,5/4/2003 18:00,5/4/2003 12:00
36051,32.75,-90.87,5/4/2003 19:00,5/4/2003 13:00
36051,32.75,-90.87,5/4/2003 20:00,5/4/2003 14:00
36051,32.75,-90.87,5/4/2003 21:00,5/4/2003 15:00
36051,32.76,-90.88,5/6/2003 17:00,5/6/2003 11:00
36051,32.75,-90.87,5/7/2003 20:00,5/7/2003 14:00
36051,31.18,-91.55,8/11/2003 21:00,8/11/2003 15:00
36051,31.18,-91.55,8/11/2003 22:00,8/11/2003 16:00
36051,31.16,-91.59,8/11/2003 23:00,8/11/2003 17:00
36051,31.16,-91.59,8/14/2003 21:00,8/14/2003 15:00
36051,31.16,-91.59,8/14/2003 22:00,8/14/2003 16:00
36051,31.16,-91.59,8/14/2003 23:00,8/14/2003 17:00
36051,31.16,-91.59,8/15/2003 0:00,8/14/2003 18:00
36051,31.16,-91.59,8/15/2003 1:00,8/14/2003 19:00
36051,31.29,-91.73,8/15/2003 16:00,8/15/2003 10:00
36051,31.42,-92.04,8/15/2003 17:00,8/15/2003 11:00
36051,31.5,-92.11,8/15/2003 18:00,8/15/2003 12:00
36051,31.5,-92.12,8/15/2003 19:00,8/15/2003 13:00
36051,31.49,-92.13,8/15/2003 20:00,8/15/2003 14:00
36051,31.51,-92.1,8/16/2003 0:00,8/15/2003 18:00
36051,31.51,-92.1,8/16/2003 1:00,8/15/2003 19:00
36051,31.51,-92.1,8/16/2003 2:00,8/15/2003 20:00
36051,31.5,-92.11,8/16/2003 15:00,8/16/2003 9:00
36051,31.51,-92.11,8/16/2003 16:00,8/16/2003 10:00
36051,31.51,-92.11,8/16/2003 17:00,8/16/2003 11:00
36051,31.47,-92.14,8/17/2003 15:00,8/17/2003 9:00
36051,31.47,-92.14,8/17/2003 16:00,8/17/2003 10:00
36051,31.47,-92.14,8/17/2003 17:00,8/17/2003 11:00
36051,31.47,-92.14,8/17/2003 18:00,8/17/2003 12:00
36051,31.47,-92.14,8/17/2003 19:00,8/17/2003 13:00
36051,31.5,-92.12,8/17/2003 20:00,8/17/2003 14:00
36051,31.49,-92.12,8/17/2003 21:00,8/17/2003 15:00
36051,31.49,-92.12,8/17/2003 22:00,8/17/2003 16:00
36051,31.5,-92.12,8/17/2003 23:00,8/17/2003 17:00
36051,31.5,-92.12,8/18/2003 0:00,8/17/2003 18:00
36051,31.51,-92.11,8/18/2003 1:00,8/17/2003 19:00
36051,31.5,-92.11,8/18/2003 15:00,8/18/2003 9:00
36051,31.49,-92.12,8/18/2003 16:00,8/18/2003 10:00
36051,31.5,-92.12,8/18/2003 17:00,8/18/2003 11:00
36051,31.5,-92.12,8/18/2003 18:00,8/18/2003 12:00
36051,31.52,-92.1,8/19/2003 21:00,8/19/2003 15:00
36051,31.52,-92.1,8/19/2003 22:00,8/19/2003 16:00
36051,31.48,-92.14,8/19/2003 23:00,8/19/2003 17:00
36051,31.47,-92.14,8/20/2003 14:00,8/20/2003 8:00
36051,31.47,-92.14,8/20/2003 15:00,8/20/2003 9:00
36051,31.47,-92.14,8/20/2003 16:00,8/20/2003 10:00
36051,31.47,-92.14,8/20/2003 17:00,8/20/2003 11:00
36051,31.47,-92.14,8/20/2003 18:00,8/20/2003 12:00
36051,31.47,-92.14,8/20/2003 20:00,8/20/2003 14:00
36051,31.47,-92.14,8/20/2003 21:00,8/20/2003 15:00
36051,31.48,-92.13,8/20/2003 22:00,8/20/2003 16:00
36051,31.47,-92.14,8/21/2003 18:00,8/21/2003 12:00
36051,31.48,-92.13,8/22/2003 17:00,8/22/2003 11:00
36051,31.5,-92.12,8/23/2003 15:00,8/23/2003 9:00
36051,31.5,-92.1,8/23/2003 16:00,8/23/2003 10:00
36051,31.37,-91.95,8/23/2003 17:00,8/23/2003 11:00
36051,31.35,-91.48,8/23/2003 21:00,8/23/2003 15:00
36051,31.36,-91.48,8/23/2003 22:00,8/23/2003 16:00
36051,31.36,-91.48,8/23/2003 23:00,8/23/2003 17:00
36051,31.36,-91.48,8/24/2003 0:00,8/23/2003 18:00
36051,31.36,-91.48,8/24/2003 1:00,8/23/2003 19:00
36051,31.36,-91.47,8/24/2003 2:00,8/23/2003 20:00
36051,31.32,-91.52,8/24/2003 18:00,8/24/2003 12:00
36051,31.32,-91.52,8/24/2003 19:00,8/24/2003 13:00
36051,31.32,-91.52,8/24/2003 20:00,8/24/2003 14:00
36051,31.26,-91.55,8/25/2003 16:00,8/25/2003 10:00
36051,31.19,-91.56,8/25/2003 17:00,8/25/2003 11:00
36051,31.19,-91.56,8/25/2003 18:00,8/25/2003 12:00
36051,31.19,-91.56,8/25/2003 19:00,8/25/2003 13:00
36051,31.19,-91.56,8/25/2003 20:00,8/25/2003 14:00
36051,31.17,-91.59,8/26/2003 0:00,8/25/2003 18:00
36051,31.17,-91.59,8/26/2003 1:00,8/25/2003 19:00
36051,31.17,-91.59,8/26/2003 2:00,8/25/2003 20:00
36051,31.17,-91.59,8/26/2003 3:00,8/25/2003 21:00
36051,31.17,-91.59,8/26/2003 4:00,8/25/2003 22:00
36051,31.17,-91.59,8/26/2003 14:00,8/26/2003 8:00
36051,31.17,-91.59,8/26/2003 15:00,8/26/2003 9:00
36051,31.17,-91.59,8/26/2003 16:00,8/26/2003 10:00
36051,31.17,-91.59,8/26/2003 17:00,8/26/2003 11:00
36051,31.17,-91.59,8/26/2003 18:00,8/26/2003 12:00
36051,31.17,-91.58,8/26/2003 19:00,8/26/2003 13:00
36051,31.18,-91.57,8/26/2003 20:00,8/26/2003 14:00
