"","CatID","Sex","Age","ReprodStat","Season","Photoperiod","DateGMT","TimeGMT","DateTimeET","DateTimeET2","DateET2","TIMEET2","TTF","Zone","X","Y"
"20918","121","F","A",1,"DRY","DAY",NA,NA,200602021412,"20060202 1412","2006 2 2",1412,NA,"17",494155.616944674,2904240.22509117
"20919","121","F","A",1,"DRY","NIGHT",NA,NA,200602040104,"20060204 104","2006 2 4",104,NA,"17",498182.291252106,2905598.38068315
"20920","121","F","A",1,"DRY","DAY",NA,NA,200602041504,"20060204 1504","2006 2 4",1504,NA,"17",498476.197089817,2905114.37033939
"20921","121","F","A",1,"DRY","DAY",NA,NA,200602051203,"20060205 1203","2006 2 5",1203,NA,"17",499210.521000374,2905661.18616338
"20922","121","F","A",1,"DRY","NIGHT",NA,NA,200602051903,"20060205 1903","2006 2 5",1903,NA,"17",499467.276890703,2905532.57465813
"20923","121","F","A",1,"DRY","DAY",NA,NA,200602061604,"20060206 1604","2006 2 6",1604,NA,"17",502960.861925866,2904391.4315276
"20924","121","F","A",1,"DRY","NIGHT",NA,NA,200602062303,"20060206 2303","2006 2 6",2303,NA,"17",503026.700390253,2904420.38997192
"20925","121","F","A",1,"DRY","DAY",NA,NA,200602071304,"20060207 1304","2006 2 7",1304,NA,"17",503079.325819023,2904648.52847992
"20926","121","F","A",1,"DRY","NIGHT",NA,NA,200602072004,"20060207 2004","2006 2 7",2004,NA,"17",503059.00329721,2904533.26879698
"20927","121","F","A",1,"DRY","DAY",NA,NA,200602081004,"20060208 1004","2006 2 8",1004,NA,"17",503100.997433204,2904683.48340518
"20928","121","F","A",1,"DRY","DAY",NA,NA,200602081703,"20060208 1703","2006 2 8",1703,NA,"17",503166.075628307,2904671.55563327
"20929","121","F","A",1,"DRY","NIGHT",NA,NA,200602090004,"20060209 004","2006 2 9",4,NA,"17",503124.417844944,2904379.65035214
"20930","121","F","A",1,"DRY","NIGHT",NA,NA,200602092104,"20060209 2104","2006 2 9",2104,NA,"17",501582.949710749,2904607.35044945
"20931","121","F","A",1,"DRY","NIGHT",NA,NA,200602100403,"20060210 403","2006 2 10",403,NA,"17",501724.677855711,2905447.25077283
"20932","121","F","A",1,"DRY","DAY",NA,NA,200602101103,"20060210 1103","2006 2 10",1103,NA,"17",501139.115747482,2904772.27380533
"20933","121","F","A",1,"DRY","NIGHT",NA,NA,200602110103,"20060211 103","2006 2 11",103,NA,"17",501665.356823288,2907272.78106975
"20934","121","F","A",1,"DRY","DAY",NA,NA,200602110803,"20060211 803","2006 2 11",803,NA,"17",502124.779976126,2905879.60090788
"20935","121","F","A",1,"DRY","DAY",NA,NA,200602111504,"20060211 1504","2006 2 11",1504,NA,"17",501130.920640495,2906147.13213137
"20936","121","F","A",1,"DRY","NIGHT",NA,NA,200602120504,"20060212 504","2006 2 12",504,NA,"17",500859.912470948,2907048.03482125
"20937","121","F","A",1,"DRY","DAY",NA,NA,200602121204,"20060212 1204","2006 2 12",1204,NA,"17",500818.791155428,2907024.71818246
"20938","121","F","A",1,"DRY","DAY",NA,NA,200602130903,"20060213 903","2006 2 13",903,NA,"17",500641.94916847,2906760.94538757
"20939","121","F","A",1,"DRY","DAY",NA,NA,200602131603,"20060213 1603","2006 2 13",1603,NA,"17",501264.995266534,2906062.85988152
"20940","121","F","A",1,"DRY","NIGHT",NA,NA,200602132304,"20060213 2304","2006 2 13",2304,NA,"17",499641.774109107,2906238.95451131
"20941","121","F","A",1,"DRY","NIGHT",NA,NA,200602140604,"20060214 604","2006 2 14",604,NA,"17",501249.569166571,2905909.09682999
"20942","121","F","A",1,"DRY","DAY",NA,NA,200602141303,"20060214 1303","2006 2 14",1303,NA,"17",501084.574210491,2904236.85957468
"20943","121","F","A",1,"DRY","DAY",NA,NA,200602151703,"20060215 1703","2006 2 15",1703,NA,"17",502503.895637713,2906364.92392067
"20944","121","F","A",1,"DRY","NIGHT",NA,NA,200602160004,"20060216 004","2006 2 16",4,NA,"17",502488.8778193,2906706.5718338
"20945","121","F","A",1,"DRY","DAY",NA,NA,200602160704,"20060216 704","2006 2 16",704,NA,"17",501832.306732044,2906233.43777655
"20946","121","F","A",1,"DRY","DAY",NA,NA,200602161404,"20060216 1404","2006 2 16",1404,NA,"17",501491.802233845,2906690.70165504
"20947","121","F","A",1,"DRY","NIGHT",NA,NA,200602162104,"20060216 2104","2006 2 16",2104,NA,"17",502827.178298481,2906872.83036135
"20948","121","F","A",1,"DRY","NIGHT",NA,NA,200602170403,"20060217 403","2006 2 17",403,NA,"17",500972.900550395,2907605.56397628
"20949","121","F","A",1,"DRY","DAY",NA,NA,200602171103,"20060217 1103","2006 2 17",1103,NA,"17",500795.952523913,2907065.16308379
"20950","121","F","A",1,"DRY","DAY",NA,NA,200602171804,"20060217 1804","2006 2 17",1804,NA,"17",500898.152284689,2907195.79062169
"20951","121","F","A",1,"DRY","DAY",NA,NA,200602181504,"20060218 1504","2006 2 18",1504,NA,"17",500809.591966517,2907095.64630921
"20952","121","F","A",1,"DRY","NIGHT",NA,NA,200602182203,"20060218 2203","2006 2 18",2203,NA,"17",500752.95450085,2907129.46880531
"20953","121","F","A",1,"DRY","NIGHT",NA,NA,200602190504,"20060219 504","2006 2 19",504,NA,"17",501065.956482727,2907115.77927887
"20954","121","F","A",1,"DRY","NIGHT",NA,NA,200602191904,"20060219 1904","2006 2 19",1904,NA,"17",500801.584011268,2905041.98194408
"20955","121","F","A",1,"DRY","DAY",NA,NA,200602200903,"20060220 903","2006 2 20",903,NA,"17",500544.248091634,2904830.71185645
"20956","121","F","A",1,"DRY","DAY",NA,NA,200602201603,"20060220 1603","2006 2 20",1603,NA,"17",500952.115382895,2904943.63303187
"20957","121","F","A",1,"DRY","NIGHT",NA,NA,200602202303,"20060220 2303","2006 2 20",2303,NA,"17",500464.586356219,2906240.37952137
"20958","121","F","A",2,"DRY","NIGHT",NA,NA,200602210603,"20060221 603","2006 2 21",603,NA,"17",499829.474611476,2906407.1731491
"20959","121","F","A",2,"DRY","NIGHT",NA,NA,200602212003,"20060221 2003","2006 2 21",2003,NA,"17",499250.579112794,2906203.44673765
"20960","121","F","A",2,"DRY","NIGHT",NA,NA,200602220304,"20060222 304","2006 2 22",304,NA,"17",499525.953814972,2905882.36189596
"20961","121","F","A",2,"DRY","DAY",NA,NA,200602221703,"20060222 1703","2006 2 22",1703,NA,"17",499272.726216841,2906047.86193892
"20962","121","F","A",2,"DRY","NIGHT",NA,NA,200602230004,"20060223 004","2006 2 23",4,NA,"17",499570.606371775,2905979.70363151
"20963","121","F","A",2,"DRY","DAY",NA,NA,200602230704,"20060223 704","2006 2 23",704,NA,"17",499244.828249633,2905997.24729515
"20964","121","F","A",2,"DRY","DAY",NA,NA,200602231403,"20060223 1403","2006 2 23",1403,NA,"17",499540.37519183,2906116.93667644
"20965","121","F","A",2,"DRY","NIGHT",NA,NA,200602240404,"20060224 404","2006 2 24",404,NA,"17",499528.464642964,2905927.12785668
"20966","121","F","A",2,"DRY","DAY",NA,NA,200602241803,"20060224 1803","2006 2 24",1803,NA,"17",499224.791439202,2906126.07833919
"20967","121","F","A",2,"DRY","NIGHT",NA,NA,200602250104,"20060225 104","2006 2 25",104,NA,"17",499585.969348609,2906179.29076025
"20968","121","F","A",2,"DRY","DAY",NA,NA,200602251503,"20060225 1503","2006 2 25",1503,NA,"17",499499.161749341,2905907.14381291
"20969","121","F","A",2,"DRY","NIGHT",NA,NA,200602252204,"20060225 2204","2006 2 25",2204,NA,"17",499352.118356086,2906042.44939775
"20970","121","F","A",2,"DRY","NIGHT",NA,NA,200602261904,"20060226 1904","2006 2 26",1904,NA,"17",499270.851374332,2906071.42232426
"20971","121","F","A",2,"DRY","NIGHT",NA,NA,200602270204,"20060227 204","2006 2 27",204,NA,"17",499200.462923508,2905917.66892748
"20972","121","F","A",2,"DRY","DAY",NA,NA,200602271603,"20060227 1603","2006 2 27",1603,NA,"17",499498.179764934,2906073.8171955
"20973","121","F","A",2,"DRY","NIGHT",NA,NA,200602272304,"20060227 2304","2006 2 27",2304,NA,"17",500075.590194732,2905646.4740354
"20974","121","F","A",2,"DRY","NIGHT",NA,NA,200602282004,"20060228 2004","2006 2 28",2004,NA,"17",499380.897241417,2905909.23331932
"20975","121","F","A",2,"DRY","NIGHT",NA,NA,200603010304,"20060301 304","2006 3 1",304,NA,"17",499441.257150363,2905966.40337469
"20976","121","F","A",2,"DRY","DAY",NA,NA,200603011004,"20060301 1004","2006 3 1",1004,NA,"17",499308.072938167,2906140.22302527
"20977","121","F","A",2,"DRY","DAY",NA,NA,200603011704,"20060301 1704","2006 3 1",1704,NA,"17",499349.102901094,2905928.81253194
"20978","121","F","A",2,"DRY","NIGHT",NA,NA,200603020004,"20060302 004","2006 3 2",4,NA,"17",499778.20338472,2905788.97478926
"20979","121","F","A",2,"DRY","DAY",NA,NA,200603020704,"20060302 704","2006 3 2",704,NA,"17",499361.91412076,2906002.2380617
"20980","121","F","A",2,"DRY","DAY",NA,NA,200603021404,"20060302 1404","2006 3 2",1404,NA,"17",499303.127386451,2905962.30154969
"20981","121","F","A",2,"DRY","NIGHT",NA,NA,200603022103,"20060302 2103","2006 3 2",2103,NA,"17",499533.294800974,2906168.16177396
"20982","121","F","A",2,"DRY","NIGHT",NA,NA,200603030404,"20060303 404","2006 3 3",404,NA,"17",499486.183574289,2905962.10072764
"20983","121","F","A",2,"DRY","DAY",NA,NA,200603031104,"20060303 1104","2006 3 3",1104,NA,"17",499116.238620255,2905561.43869625
"20984","121","F","A",2,"DRY","NIGHT",NA,NA,200603040103,"20060304 103","2006 3 4",103,NA,"17",499528.238601893,2905857.68204287
"20985","121","F","A",2,"DRY","DAY",NA,NA,200603041503,"20060304 1503","2006 3 4",1503,NA,"17",499194.157608047,2906210.11593707
"20986","121","F","A",2,"DRY","NIGHT",NA,NA,200603042204,"20060304 2204","2006 3 4",2204,NA,"17",499638.104991429,2906827.54617483
"20987","121","F","A",2,"DRY","NIGHT",NA,NA,200603050504,"20060305 504","2006 3 5",504,NA,"17",501826.998224899,2906933.20314447
"20988","121","F","A",2,"DRY","NIGHT",NA,NA,200603051903,"20060305 1903","2006 3 5",1903,NA,"17",499406.535812151,2905911.28202221
"20989","121","F","A",2,"DRY","NIGHT",NA,NA,200603060203,"20060306 203","2006 3 6",203,NA,"17",499390.898179434,2905865.3492863
"20990","121","F","A",2,"DRY","DAY",NA,NA,200603060904,"20060306 904","2006 3 6",904,NA,"17",499562.992381364,2906119.84115538
"20991","121","F","A",2,"DRY","DAY",NA,NA,200603061603,"20060306 1603","2006 3 6",1603,NA,"17",499518.833847173,2906071.31155097
"20992","121","F","A",2,"DRY","NIGHT",NA,NA,200603072003,"20060307 2003","2006 3 7",2003,NA,"17",499325.26876685,2905723.55306438
"20993","121","F","A",2,"DRY","NIGHT",NA,NA,200603080304,"20060308 304","2006 3 8",304,NA,"17",499178.441351645,2905835.47538182
"20994","121","F","A",2,"DRY","DAY",NA,NA,200603081703,"20060308 1703","2006 3 8",1703,NA,"17",499097.959548298,2905926.13607394
"20995","121","F","A",2,"DRY","DAY",NA,NA,200603090704,"20060309 704","2006 3 9",704,NA,"17",499295.677468289,2905967.1708727
"20996","121","F","A",2,"DRY","DAY",NA,NA,200603091403,"20060309 1403","2006 3 9",1403,NA,"17",499292.002223816,2905708.48010394
"20997","121","F","A",2,"DRY","NIGHT",NA,NA,200603092103,"20060309 2103","2006 3 9",2103,NA,"17",500888.987517044,2906193.72425707
"20998","121","F","A",2,"DRY","NIGHT",NA,NA,200603100403,"20060310 403","2006 3 10",403,NA,"17",499407.753512647,2905907.08051249
"20999","121","F","A",2,"DRY","DAY",NA,NA,200603111504,"20060311 1504","2006 3 11",1504,NA,"17",500592.255452689,2905827.92286739
"21000","121","F","A",2,"DRY","NIGHT",NA,NA,200603112204,"20060311 2204","2006 3 11",2204,NA,"17",499588.05873467,2905736.50696518
"21001","121","F","A",2,"DRY","NIGHT",NA,NA,200603140515,"20060314 515","2006 3 14",515,NA,"17",499435.847265195,2905989.89175808
"21002","121","F","A",2,"DRY","DAY",NA,NA,200603141203,"20060314 1203","2006 3 14",1203,NA,"17",499118.284287594,2905733.34630365
"21003","121","F","A",2,"DRY","NIGHT",NA,NA,200603141903,"20060314 1903","2006 3 14",1903,NA,"17",499353.558721825,2905903.56211478
"21004","121","F","A",2,"DRY","NIGHT",NA,NA,200603150203,"20060315 203","2006 3 15",203,NA,"17",502448.632141471,2904817.93829046
