Date,id,OldDate,OrigDate,Speed,Course,Alt,Day,Month,Year,Hour,DateTime,Hour2,Altmodifi,x,y
2006101 6:00:00,49,20061001,10/1/2006,0,205,4,1,10,2006,6:00:00,2006101 6:00:00,6,4,520136.3017,3587085.148
2006101 8:00:00,49,20061001,10/1/2006,0,310,13,1,10,2006,8:00:00,2006101 8:00:00,8,13,520120.5574,3587122.066
2006101 9:00:00,49,20061001,10/1/2006,0,147,86,1,10,2006,9:00:00,2006101 9:00:00,9,86,520385.827,3587676.854
2006101 10:00:00,49,20061001,10/1/2006,0,267,14,1,10,2006,10:00:00,2006101 10:00:00,10,14,520401.4213,3587713.836
2006101 11:00:00,49,20061001,10/1/2006,0,314,10,1,10,2006,11:00:00,2006101 11:00:00,11,10,521136.5579,3588343.511
2006101 12:00:00,49,20061001,10/1/2006,19,265,20,1,10,2006,12:00:00,2006101 12:00:00,12,20,521559.3258,3588473.736
2006101 13:00:00,49,20061001,10/1/2006,41,181,262,1,10,2006,13:00:00,2006101 13:00:00,13,262,520040.6582,3587897.861
2006101 14:00:00,49,20061001,10/1/2006,0,335,232,1,10,2006,14:00:00,2006101 14:00:00,14,232,520309.0111,3586919.219
2006101 19:00:00,49,20061002,10/2/2006,0,221,2,1,10,2006,19:00:00,2006101 19:00:00,19,2,520136.3017,3587085.148
2006101 20:00:00,49,20061002,10/2/2006,0,262,2,1,10,2006,20:00:00,2006101 20:00:00,20,2,520151.9349,3587103.654
2006102 5:00:00,49,20061002,10/2/2006,0,323,2,2,10,2006,5:00:00,2006102 5:00:00,5,2,520136.2647,3587103.623
2006102 6:00:00,49,20061002,10/2/2006,0,159,16,2,10,2006,6:00:00,2006102 6:00:00,6,16,520136.3017,3587085.148
2006102 7:00:00,49,20061002,10/2/2006,0,333,6,2,10,2006,7:00:00,2006102 7:00:00,7,6,520136.3017,3587085.148
2006102 8:00:00,49,20061002,10/2/2006,0,236,7,2,10,2006,8:00:00,2006102 8:00:00,8,7,520136.3387,3587066.673
2006102 9:00:00,49,20061002,10/2/2006,0,244,28,2,10,2006,9:00:00,2006102 9:00:00,9,28,521076.2101,3587234.876
2006102 10:00:00,49,20061002,10/2/2006,39,266,35,2,10,2006,10:00:00,2006102 10:00:00,10,35,520574.8811,3587178.412
2006102 11:00:00,49,20061002,10/2/2006,43,283,150,2,10,2006,11:00:00,2006102 11:00:00,11,150,520650.7631,3588379.451
2006102 12:00:00,49,20061002,10/2/2006,27,17,790,2,10,2006,12:00:00,2006102 12:00:00,12,790,520166.0105,3587898.112
2006102 13:00:00,49,20061002,10/2/2006,0,112,15,2,10,2006,13:00:00,2006102 13:00:00,13,15,519491.6684,3588192.383
2006102 14:00:00,49,20061002,10/2/2006,0,20,67,2,10,2006,14:00:00,2006102 14:00:00,14,67,519852.1916,3588119.189
2006102 15:00:00,49,20061002,10/2/2006,0,37,18,2,10,2006,15:00:00,2006102 15:00:00,15,18,520136.2647,3587103.623
