CatID,Sex,Age,ReprodStat,Season,Photoperiod,DateGMT,TimeGMT,DateTimeET,DateTimeET2,DateET2,TIMEET2,TTF,Zone,X,Y
121,F,A,1,DRY,DAY,NA,NA,2.00602E+11,20060202 1412,2006 2 2,1412,NA,17,494155.6169,2904240.225
121,F,A,1,DRY,NIGHT,NA,NA,2.00602E+11,20060204 104,2006 2 4,104,NA,17,498182.2913,2905598.381
121,F,A,1,DRY,DAY,NA,NA,2.00602E+11,20060204 1504,2006 2 4,1504,NA,17,498476.1971,2905114.37
121,F,A,1,DRY,DAY,NA,NA,2.00602E+11,20060205 1203,2006 2 5,1203,NA,17,499210.521,2905661.186
121,F,A,1,DRY,NIGHT,NA,NA,2.00602E+11,20060205 1903,2006 2 5,1903,NA,17,499467.2769,2905532.575
121,F,A,1,DRY,DAY,NA,NA,2.00602E+11,20060206 1604,2006 2 6,1604,NA,17,502960.8619,2904391.432
121,F,A,1,DRY,NIGHT,NA,NA,2.00602E+11,20060206 2303,2006 2 6,2303,NA,17,503026.7004,2904420.39
121,F,A,1,DRY,DAY,NA,NA,2.00602E+11,20060207 1304,2006 2 7,1304,NA,17,503079.3258,2904648.528
121,F,A,1,DRY,NIGHT,NA,NA,2.00602E+11,20060207 2004,2006 2 7,2004,NA,17,503059.0033,2904533.269
121,F,A,1,DRY,DAY,NA,NA,2.00602E+11,20060208 1004,2006 2 8,1004,NA,17,503100.9974,2904683.483
121,F,A,1,DRY,DAY,NA,NA,2.00602E+11,20060208 1703,2006 2 8,1703,NA,17,503166.0756,2904671.556
121,F,A,1,DRY,NIGHT,NA,NA,2.00602E+11,20060209 004,2006 2 9,4,NA,17,503124.4178,2904379.65
121,F,A,1,DRY,NIGHT,NA,NA,2.00602E+11,20060209 2104,2006 2 9,2104,NA,17,501582.9497,2904607.35
121,F,A,1,DRY,NIGHT,NA,NA,2.00602E+11,20060210 403,2006 2 10,403,NA,17,501724.6779,2905447.251
121,F,A,1,DRY,DAY,NA,NA,2.00602E+11,20060210 1103,2006 2 10,1103,NA,17,501139.1157,2904772.274
121,F,A,1,DRY,NIGHT,NA,NA,2.00602E+11,20060211 103,2006 2 11,103,NA,17,501665.3568,2907272.781
121,F,A,1,DRY,DAY,NA,NA,2.00602E+11,20060211 803,2006 2 11,803,NA,17,502124.78,2905879.601
121,F,A,1,DRY,DAY,NA,NA,2.00602E+11,20060211 1504,2006 2 11,1504,NA,17,501130.9206,2906147.132
121,F,A,1,DRY,NIGHT,NA,NA,2.00602E+11,20060212 504,2006 2 12,504,NA,17,500859.9125,2907048.035
121,F,A,1,DRY,DAY,NA,NA,2.00602E+11,20060212 1204,2006 2 12,1204,NA,17,500818.7912,2907024.718
121,F,A,1,DRY,DAY,NA,NA,2.00602E+11,20060213 903,2006 2 13,903,NA,17,500641.9492,2906760.945
121,F,A,1,DRY,DAY,NA,NA,2.00602E+11,20060213 1603,2006 2 13,1603,NA,17,501264.9953,2906062.86
121,F,A,1,DRY,NIGHT,NA,NA,2.00602E+11,20060213 2304,2006 2 13,2304,NA,17,499641.7741,2906238.955
121,F,A,1,DRY,NIGHT,NA,NA,2.00602E+11,20060214 604,2006 2 14,604,NA,17,501249.5692,2905909.097
121,F,A,1,DRY,DAY,NA,NA,2.00602E+11,20060214 1303,2006 2 14,1303,NA,17,501084.5742,2904236.86
121,F,A,1,DRY,DAY,NA,NA,2.00602E+11,20060215 1703,2006 2 15,1703,NA,17,502503.8956,2906364.924
121,F,A,1,DRY,NIGHT,NA,NA,2.00602E+11,20060216 004,2006 2 16,4,NA,17,502488.8778,2906706.572
121,F,A,1,DRY,DAY,NA,NA,2.00602E+11,20060216 704,2006 2 16,704,NA,17,501832.3067,2906233.438
121,F,A,1,DRY,DAY,NA,NA,2.00602E+11,20060216 1404,2006 2 16,1404,NA,17,501491.8022,2906690.702
121,F,A,1,DRY,NIGHT,NA,NA,2.00602E+11,20060216 2104,2006 2 16,2104,NA,17,502827.1783,2906872.83
121,F,A,1,DRY,NIGHT,NA,NA,2.00602E+11,20060217 403,2006 2 17,403,NA,17,500972.9006,2907605.564
121,F,A,1,DRY,DAY,NA,NA,2.00602E+11,20060217 1103,2006 2 17,1103,NA,17,500795.9525,2907065.163
121,F,A,1,DRY,DAY,NA,NA,2.00602E+11,20060217 1804,2006 2 17,1804,NA,17,500898.1523,2907195.791
121,F,A,1,DRY,DAY,NA,NA,2.00602E+11,20060218 1504,2006 2 18,1504,NA,17,500809.592,2907095.646
121,F,A,1,DRY,NIGHT,NA,NA,2.00602E+11,20060218 2203,2006 2 18,2203,NA,17,500752.9545,2907129.469
121,F,A,1,DRY,NIGHT,NA,NA,2.00602E+11,20060219 504,2006 2 19,504,NA,17,501065.9565,2907115.779
121,F,A,1,DRY,NIGHT,NA,NA,2.00602E+11,20060219 1904,2006 2 19,1904,NA,17,500801.584,2905041.982
121,F,A,1,DRY,DAY,NA,NA,2.00602E+11,20060220 903,2006 2 20,903,NA,17,500544.2481,2904830.712
121,F,A,1,DRY,DAY,NA,NA,2.00602E+11,20060220 1603,2006 2 20,1603,NA,17,500952.1154,2904943.633
121,F,A,1,DRY,NIGHT,NA,NA,2.00602E+11,20060220 2303,2006 2 20,2303,NA,17,500464.5864,2906240.38
121,F,A,2,DRY,NIGHT,NA,NA,2.00602E+11,20060221 603,2006 2 21,603,NA,17,499829.4746,2906407.173
121,F,A,2,DRY,NIGHT,NA,NA,2.00602E+11,20060221 2003,2006 2 21,2003,NA,17,499250.5791,2906203.447
121,F,A,2,DRY,NIGHT,NA,NA,2.00602E+11,20060222 304,2006 2 22,304,NA,17,499525.9538,2905882.362
121,F,A,2,DRY,DAY,NA,NA,2.00602E+11,20060222 1703,2006 2 22,1703,NA,17,499272.7262,2906047.862
121,F,A,2,DRY,NIGHT,NA,NA,2.00602E+11,20060223 004,2006 2 23,4,NA,17,499570.6064,2905979.704
121,F,A,2,DRY,DAY,NA,NA,2.00602E+11,20060223 704,2006 2 23,704,NA,17,499244.8282,2905997.247
121,F,A,2,DRY,DAY,NA,NA,2.00602E+11,20060223 1403,2006 2 23,1403,NA,17,499540.3752,2906116.937
121,F,A,2,DRY,NIGHT,NA,NA,2.00602E+11,20060224 404,2006 2 24,404,NA,17,499528.4646,2905927.128
121,F,A,2,DRY,DAY,NA,NA,2.00602E+11,20060224 1803,2006 2 24,1803,NA,17,499224.7914,2906126.078
121,F,A,2,DRY,NIGHT,NA,NA,2.00602E+11,20060225 104,2006 2 25,104,NA,17,499585.9693,2906179.291
121,F,A,2,DRY,DAY,NA,NA,2.00602E+11,20060225 1503,2006 2 25,1503,NA,17,499499.1617,2905907.144
121,F,A,2,DRY,NIGHT,NA,NA,2.00602E+11,20060225 2204,2006 2 25,2204,NA,17,499352.1184,2906042.449
121,F,A,2,DRY,NIGHT,NA,NA,2.00602E+11,20060226 1904,2006 2 26,1904,NA,17,499270.8514,2906071.422
121,F,A,2,DRY,NIGHT,NA,NA,2.00602E+11,20060227 204,2006 2 27,204,NA,17,499200.4629,2905917.669
121,F,A,2,DRY,DAY,NA,NA,2.00602E+11,20060227 1603,2006 2 27,1603,NA,17,499498.1798,2906073.817
121,F,A,2,DRY,NIGHT,NA,NA,2.00602E+11,20060227 2304,2006 2 27,2304,NA,17,500075.5902,2905646.474
121,F,A,2,DRY,NIGHT,NA,NA,2.00602E+11,20060228 2004,2006 2 28,2004,NA,17,499380.8972,2905909.233
