CatID,Sex,Age,Season,Photoperiod,DateGMT,TimeGMT,DateTimeET,DateTimeET2,DateET2,TIMEET2,TTF,Zone,SAT,x,y
137,M,A,DRY,DAY,20081212,175300,2.01E+11,20081212 1253,2008 12 12,1253,51,17R,5,464624.1385,2940964.509
137,M,A,DRY,DAY,20081212,180000,2.01E+11,20081212 1300,2008 12 12,1300,30,17R,5,464621.626,2941002.1
137,M,A,DRY,DAY,20081212,190000,2.01E+11,20081212 1400,2008 12 12,1400,49,17R,4,464750.7996,2941134.091
137,M,A,DRY,DAY,20081212,230000,2.01E+11,20081212 1800,2008 12 12,1800,30,17R,4,464468.8188,2940610.802
137,M,A,DRY,DAY,20081213,0,2.01E+11,20081212 1900,2008 12 12,1900,43,17R,5,464388.803,2940744.344
137,M,A,DRY,NIGHT,20081213,10000,2.01E+11,20081212 2000,2008 12 12,2000,30,17R,5,464491.731,2940583.273
137,M,A,DRY,NIGHT,20081213,20000,2.01E+11,20081212 2100,2008 12 12,2100,52,17R,4,464594.625,2940743.364
137,M,A,DRY,NIGHT,20081213,30000,2.01E+11,20081212 2200,2008 12 12,2200,43,17R,6,464481.8292,2940635.464
137,M,A,DRY,NIGHT,20081213,40000,2.01E+11,20081212 2300,2008 12 12,2300,30,17R,5,464511.4725,2940721.327
137,M,A,DRY,NIGHT,20081213,50000,2.01E+11,20081213 000,2008 12 13,0,43,17R,5,464565.9639,2940455.165
137,M,A,DRY,NIGHT,20081213,60000,2.01E+11,20081213 100,2008 12 13,100,43,17R,4,464417.0923,2940559.828
137,M,A,DRY,NIGHT,20081213,70000,2.01E+11,20081213 200,2008 12 13,200,30,17R,4,464420.1413,2940499.006
137,M,A,DRY,NIGHT,20081213,80000,2.01E+11,20081213 300,2008 12 13,300,70,17R,5,464558.4437,2940464.115
137,M,A,DRY,NIGHT,20081213,90000,2.01E+11,20081213 400,2008 12 13,400,50,17R,5,464448.9104,2940625.048
137,M,A,DRY,NIGHT,20081213,100000,2.01E+11,20081213 500,2008 12 13,500,33,17R,6,464517.538,2940606.318
137,M,A,DRY,NIGHT,20081213,110000,2.01E+11,20081213 600,2008 12 13,600,30,17R,4,464345.4769,2940688.522
