crop,d_cover,d_roads,animal_id,use,roaddist,BinRoad,NewDate,Season,cropnew,std_cover,std_roads
4,0,560.4462508,647572A,1,584.0655135,600-800,10/13/2011 3:00,winter2012,2,-0.714657587,0.579520216
4,0,573.1491952,647572A,1,580.9918201,600-800,10/13/2011 6:00,winter2012,2,-0.714657587,0.619855142
5,30,600.7495318,647572A,1,578.6429275,600-800,10/13/2011 9:00,winter2012,3,-0.475695447,0.707492897
5,67.08203932,323.1098884,647572A,1,337.3820443,200-400,10/13/2011 12:00,winter2012,3,-0.180321998,-0.174080235
5,67.08203932,323.1098884,647572A,1,333.3866628,200-400,10/13/2011 15:00,winter2012,3,-0.180321998,-0.174080235
5,60,351.1409973,647572A,1,347.3063233,200-400,10/13/2011 18:00,winter2012,3,-0.236733307,-0.085074673
5,60,351.1409973,647572A,1,357.3589505,200-400,10/13/2011 21:00,winter2012,3,-0.236733307,-0.085074673
5,30,442.9446918,647572A,1,444.4007317,400-600,10/14/2011 0:00,winter2012,3,-0.475695447,0.206424299
5,30,180,647572A,1,170.3349531,0-200,10/14/2011 3:00,winter2012,3,-0.475695447,-0.628488802
4,0,180,647572A,1,197.6102573,200-400,10/14/2011 6:00,winter2012,2,-0.714657587,-0.628488802
5,42.42640687,210,647572A,1,202.40434,200-400,10/14/2011 9:00,winter2012,3,-0.376714088,-0.533231534
4,0,30,647572A,1,26.4052411,0-200,10/14/2011 12:00,winter2012,2,-0.714657587,-1.104775143
5,30,371.0795063,647572A,1,349.712618,200-400,10/14/2011 15:00,winter2012,3,-0.475695447,-0.021765076
5,30,371.0795063,647572A,1,345.5765099,200-400,10/14/2011 18:00,winter2012,3,-0.475695447,-0.021765076
5,30,371.0795063,647572A,1,347.0976404,200-400,10/14/2011 21:00,winter2012,3,-0.475695447,-0.021765076
5,42.42640687,379.4733192,647572A,1,356.8425464,200-400,10/15/2011 0:00,winter2012,3,-0.376714088,0.004887313
4,0,210,647572A,1,210.3957583,200-400,10/15/2011 3:00,winter2012,2,-0.714657587,-0.533231534
4,0,180,647572A,1,199.7351626,200-400,10/15/2011 6:00,winter2012,2,-0.714657587,-0.628488802
4,0,180,647572A,1,193.6990468,200-400,10/15/2011 9:00,winter2012,2,-0.714657587,-0.628488802
1,42.42640687,0,647572A,1,5.002087275,0-200,10/15/2011 12:00,winter2012,1,-0.376714088,-1.200032411
4,0,342.0526275,647572A,1,342.0635056,200-400,10/15/2011 15:00,winter2012,2,-0.714657587,-0.113932449
4,0,364.9657518,647572A,1,371.1185118,200-400,10/15/2011 18:00,winter2012,2,-0.714657587,-0.041177728
4,0,394.5883931,647572A,1,390.6334921,400-600,10/15/2011 21:00,winter2012,2,-0.714657587,0.052881335
4,0,540,647572A,1,554.154746,400-600,10/16/2011 0:00,winter2012,2,-0.714657587,0.514598416
4,0,391.1521443,647572A,1,407.8758531,400-600,10/16/2011 3:00,winter2012,2,-0.714657587,0.041970413
4,0,424.2640687,647572A,1,434.2939662,400-600,10/16/2011 6:00,winter2012,2,-0.714657587,0.147108795
5,42.42640687,510.881591,647572A,1,483.3786501,400-600,10/16/2011 9:00,winter2012,3,-0.376714088,0.422140413
1,30,60,647572A,1,66.98435517,0-200,10/16/2011 12:00,winter2012,1,-0.475695447,-1.009517874
4,0,553.1726674,647572A,1,578.5923699,600-800,10/16/2011 15:00,winter2012,2,-0.714657587,0.556424826
4,0,577.0615219,647572A,1,578.9168618,600-800,10/16/2011 18:01,winter2012,2,-0.714657587,0.632277727
4,0,547.4486277,647572A,1,572.8346487,400-600,10/16/2011 21:00,winter2012,2,-0.714657587,0.538249614
4,0,589.4064811,647572A,1,615.4343256,600-800,10/17/2011 0:00,winter2012,2,-0.714657587,0.671475963
2,108.1665383,182.4828759,647572A,1,185.2864455,0-200,10/17/2011 3:00,winter2012,1,0.146932662,-0.620605069
2,127.2792206,60,647572A,1,62.00041802,0-200,10/17/2011 6:00,winter2012,1,0.299172911,-1.009517874
5,212.1320344,30,647572A,1,19.01104822,0-200,10/17/2011 9:00,winter2012,3,0.97505991,-1.104775143
4,0,150,647572A,1,139.0784664,0-200,10/17/2011 12:00,winter2012,2,-0.714657587,-0.72374607
4,0,331.3608305,647572A,1,355.1778532,200-400,10/17/2011 15:00,winter2012,2,-0.714657587,-0.147881494
4,0,300,647572A,1,323.422619,200-400,10/17/2011 18:00,winter2012,2,-0.714657587,-0.247459729
4,0,364.9657518,647572A,1,375.2206325,200-400,10/17/2011 21:00,winter2012,2,-0.714657587,-0.041177728
4,0,364.9657518,647572A,1,367.2712442,200-400,10/18/2011 0:00,winter2012,2,-0.714657587,-0.041177728
3,30,210,647572A,1,210.9883108,200-400,10/18/2011 3:00,winter2012,1,-0.475695447,-0.533231534
5,30,180,647572A,1,177.4824963,0-200,10/18/2011 6:00,winter2012,3,-0.475695447,-0.628488802
4,0,324.4996148,647572A,1,353.3258212,200-400,10/18/2011 9:00,winter2012,2,-0.714657587,-0.169667517
5,30,450,647572A,1,463.5852125,400-600,10/18/2011 12:00,winter2012,3,-0.475695447,0.228826612
4,0,364.9657518,647572A,1,361.3119317,200-400,10/18/2011 15:00,winter2012,2,-0.714657587,-0.041177728
4,0,361.2478374,647572A,1,357.6134294,200-400,10/18/2011 18:00,winter2012,2,-0.714657587,-0.052983007
4,0,335.4101966,647572A,1,328.8268135,200-400,10/18/2011 21:00,winter2012,2,-0.714657587,-0.135023776
4,0,335.4101966,647572A,1,348.4913069,200-400,10/19/2011 0:00,winter2012,2,-0.714657587,-0.135023776
5,234.3074903,120,647572A,1,123.5789021,0-200,10/19/2011 3:00,winter2012,3,1.15169639,-0.819003338
4,0,60,647572A,1,56.77056276,0-200,10/19/2011 6:00,winter2012,2,-0.714657587,-1.009517874
4,0,60,647572A,1,62.44633868,0-200,10/19/2011 9:00,winter2012,2,-0.714657587,-1.009517874
1,247.3863375,189.7366596,647572A,1,183.9177342,0-200,10/19/2011 12:00,winter2012,1,1.255874701,-0.597572549
5,30,371.0795063,647572A,1,352.5690952,200-400,10/19/2011 15:00,winter2012,3,-0.475695447,-0.021765076
5,30,371.0795063,647572A,1,347.7490471,200-400,10/19/2011 18:02,winter2012,3,-0.475695447,-0.021765076
4,0,364.9657518,647572A,1,349.7664672,200-400,10/19/2011 21:00,winter2012,2,-0.714657587,-0.041177728
1,84.85281374,335.4101966,647572A,1,333.4470889,200-400,10/20/2011 0:00,winter2012,1,-0.038770589,-0.135023776
5,30,90,647572A,1,89.2964431,0-200,10/20/2011 3:00,winter2012,3,-0.475695447,-0.914260606
5,30,90,647572A,1,99.8896449,0-200,10/20/2011 6:00,winter2012,3,-0.475695447,-0.914260606
